Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,CLINISANITAS INFANTIL - USAQUEN,COLOMBIA,CESAR,AGUACHICA,CLINISANITAS INFANTIL - USAQUEN_CESAR_AGUACHICA
4,CLINISANITAS INFANTIL - USAQUEN,COLOMBIA,TOLIMA,MELGAR,CLINISANITAS INFANTIL - USAQUEN_TOLIMA_MELGAR
4,CLINISANITAS INFANTIL - USAQUEN,COLOMBIA,MAGDALENA,SANTA MARTHA,CLINISANITAS INFANTIL - USAQUEN_MAGDALENA_SANTA MARTHA
3,IPS UNIVERSITARIA SEDE CAMINO BOSQUE DE MARIA,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO BOSQUE DE MARIA_ATLANTICO_BARRANQUILLA
4,IPS UNIVERSITARIA SEDE CAMINOLA PRADERA,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINOLA PRADERA_ATLANTICO_BARRANQUILLA
4,IPS UNIVERSITARIA SEDE CAMINO METROPOLITANO,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO METROPOLITANO_ATLANTICO_BARRANQUILLA
4,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR_ATLANTICO_BARRANQUILLA
4,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE,COLOMBIA,ATLANTICO,SOLEDAD,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE_ATLANTICO_SOLEDAD
4,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE_ATLANTICO_BARRANQUILLA
4,IPS UNIVERSITARIA SEDE CAMINO BOSQUE DE MARIA,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO BOSQUE DE MARIA_ATLANTICO_BARRANQUILLA
4,CLINISANITAS COLINA CAMPESTRE,COLOMBIA,TOLIMA,MELGAR,CLINISANITAS COLINA CAMPESTRE_TOLIMA_MELGAR
4,IPS UNIVERSITARIA SEDE CENTRAL DISTRITAL,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CENTRAL DISTRITAL_ATLANTICO_BARRANQUILLA
3,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII,COLOMBIA,ANTIOQUIA,CALDAS,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII_ANTIOQUIA_CALDAS
3,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII,COLOMBIA,ANTIOQUIA,BELLO,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII_ANTIOQUIA_BELLO
3,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII,COLOMBIA,ANTIOQUIA,CAÑASGORDAS,IPS UNIVERSIDAD DE ANTIOQUIA - LEON XIII_ANTIOQUIA_CAÑASGORDAS
4,IPS UNIVERSITARIA HOSPITAL GENERAL DE BARRANQUILLA,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA HOSPITAL GENERAL DE BARRANQUILLA_ATLANTICO_BARRANQUILLA
4,IPS UNIVERSITARIA SEDE CAMINO ADELITA DE CHAR,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO ADELITA DE CHAR_ATLANTICO_BARRANQUILLA
4,CLINICENTRO COLSANITAS BUCARAMANGA,COLOMBIA,SANTANDER,BUCARAMANGA,CLINICENTRO COLSANITAS BUCARAMANGA_SANTANDER_BUCARAMANGA
4,CLINICENTRO COLSANITAS BUCARAMANGA,COLOMBIA,SANTANDER,FLORIDABLANCA,CLINICENTRO COLSANITAS BUCARAMANGA_SANTANDER_FLORIDABLANCA
4,CLINICA MEDICO QUIRURGICA LTDA,COLOMBIA,NORTE SANTANDER,EL ZULIA,CLINICA MEDICO QUIRURGICA LTDA_NORTE SANTANDER_EL ZULIA
4,CLINICA MEDICO QUIRURGICA LTDA,COLOMBIA,NORTE SANTANDER,LOS PATIOS,CLINICA MEDICO QUIRURGICA LTDA_NORTE SANTANDER_LOS PATIOS
4,CLINICA NORTE SA,COLOMBIA,NORTE SANTANDER,VILLA DEL ROSARIO,CLINICA NORTE SA_NORTE SANTANDER_VILLA DEL ROSARIO
4,CORPORACION IPS SALUDCOOP NORTE DE SANTANDER,COLOMBIA,NORTE SANTANDER,TIBU,CORPORACION IPS SALUDCOOP NORTE DE SANTANDER_NORTE SANTANDER_TIBU
4,CORPORACION IPS SALUDCOOP CLINICA SANTA MARTA,COLOMBIA,BOYACA,CIENEGA,CORPORACION IPS SALUDCOOP CLINICA SANTA MARTA_BOYACA_CIENEGA
4,UPREC UNIDAD DE PREVENCION CLINICA CUCUTA,COLOMBIA,NORTE SANTANDER,LOS PATIOS,UPREC UNIDAD DE PREVENCION CLINICA CUCUTA_NORTE SANTANDER_LOS PATIOS
4,UPREC UNIDAD DE PREVENCION CLINICA CUCUTA,COLOMBIA,NORTE SANTANDER,CUCUTA,UPREC UNIDAD DE PREVENCION CLINICA CUCUTA_NORTE SANTANDER_CUCUTA
4,UPREC UNIDAD DE PREVENCION CLINICA CUCUTA,COLOMBIA,NORTE SANTANDER,SAN CAYETANO,UPREC UNIDAD DE PREVENCION CLINICA CUCUTA_NORTE SANTANDER_SAN CAYETANO
4,UPREC UNIDAD DE PREVENCION CLINICA CUCUTA,COLOMBIA,NORTE SANTANDER,VILLA DEL ROSARIO,UPREC UNIDAD DE PREVENCION CLINICA CUCUTA_NORTE SANTANDER_VILLA DEL ROSARIO
4,UPSS CAMU CAMILO TORRES - EL AMPARO,COLOMBIA,CORDOBA,MONTELIBANO,UPSS CAMU CAMILO TORRES - EL AMPARO_CORDOBA_MONTELIBANO
3,CLINICA SANTA ANA SA,COLOMBIA,NORTE SANTANDER,CUCUTA,CLINICA SANTA ANA SA_NORTE SANTANDER_CUCUTA
3,CLINICA SANTA MARIA SAS,COLOMBIA,SUCRE,SINCELEJO,CLINICA SANTA MARIA SAS_SUCRE_SINCELEJO
4,CLINICA SANTA MARIA SAS,COLOMBIA,SUCRE,SINCELEJO,CLINICA SANTA MARIA SAS_SUCRE_SINCELEJO
4,CLINICA VIP CENTRO DE MEDICINA INTERNACIONAL,COLOMBIA,TOLIMA,SALDAÑA,CLINICA VIP CENTRO DE MEDICINA INTERNACIONAL_TOLIMA_SALDAÑA
3,CLINICA ZAYMA LTDA,COLOMBIA,CORDOBA,MONTERIA,CLINICA ZAYMA LTDA_CORDOBA_MONTERIA
4,CLINICA SANTA ANA SA,COLOMBIA,NORTE SANTANDER,CUCUTA,CLINICA SANTA ANA SA_NORTE SANTANDER_CUCUTA
4,CLINISANITAS CL 96,COLOMBIA,CUNDINAMARCA,VILLETA,CLINISANITAS CL 96_CUNDINAMARCA_VILLETA
4,CLINISANITAS COLINA CAMPESTRE,COLOMBIA,CUNDINAMARCA,GIRARDOT,CLINISANITAS COLINA CAMPESTRE_CUNDINAMARCA_GIRARDOT
3,CLINISANITAS COLINA CAMPESTRE,COLOMBIA,BOGOTA,BOGOTA,CLINISANITAS COLINA CAMPESTRE_BOGOTA_BOGOTA
4,CLINISANITAS COLINA CAMPESTRE,COLOMBIA,TOLIMA,* TOLIMA. MUNICIPIO DESCONOCIDO,CLINISANITAS COLINA CAMPESTRE_TOLIMA_* TOLIMA. MUNICIPIO DESCONOCIDO
4,CLINISANITAS COLINA CAMPESTRE,COLOMBIA,CUNDINAMARCA,VILLETA,CLINISANITAS COLINA CAMPESTRE_CUNDINAMARCA_VILLETA
3,CLINISANITAS COLINA CAMPESTRE,COLOMBIA,CUNDINAMARCA,VILLETA,CLINISANITAS COLINA CAMPESTRE_CUNDINAMARCA_VILLETA
4,CLINISANITAS COLINA CAMPESTRE,COLOMBIA,TOLIMA,MARIQUITA,CLINISANITAS COLINA CAMPESTRE_TOLIMA_MARIQUITA
4,CLINISANITAS COLINA CAMPESTRE,COLOMBIA,TOLIMA,FLANDES,CLINISANITAS COLINA CAMPESTRE_TOLIMA_FLANDES
3,CLINICA SANTA ANA S.A,COLOMBIA,NORTE SANTANDER,CUCUTA,CLINICA SANTA ANA S.A_NORTE SANTANDER_CUCUTA
4,ESE CENTRO DE SALUD PAZ DEL RIO,COLOMBIA,MAGDALENA,FUNDACION,ESE CENTRO DE SALUD PAZ DEL RIO_MAGDALENA_FUNDACION
4,CORPORACION IPS TOLIMA INTERLAKEN,COLOMBIA,TOLIMA,IBAGUE,CORPORACION IPS TOLIMA INTERLAKEN_TOLIMA_IBAGUE
4,CRUZ ROJA COLOMBIANA SCB SEDE NORTE - USAQUEN,COLOMBIA,NORTE SANTANDER,CUCUTA,CRUZ ROJA COLOMBIANA SCB SEDE NORTE - USAQUEN_NORTE SANTANDER_CUCUTA
4,CRUZ ROJA COLOMBIANA SCB SEDE NORTE - USAQUEN,COLOMBIA,BOLIVAR,CORDOBA,CRUZ ROJA COLOMBIANA SCB SEDE NORTE - USAQUEN_BOLIVAR_CORDOBA
