Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,BATALLÓN DE INGENIEROS NO 2 FRANCISCO JAVIER VERG,COLOMBIA,BOLIVAR,MARIA LA BAJA,BATALLÓN DE INGENIEROS NO 2 FRANCISCO JAVIER VERG_BOLIVAR_MARIA LA BAJA
4,ESE HOSPITAL SAN PEDRO DE EL PIÑON,COLOMBIA,MAGDALENA,EL PIÑON,ESE HOSPITAL SAN PEDRO DE EL PIÑON_MAGDALENA_EL PIÑON
4,CAP BLAS DE LEZO,COLOMBIA,BOLIVAR,CARTAGENA,CAP BLAS DE LEZO_BOLIVAR_CARTAGENA
4,UAB PLAZA COLON SALUD TOTALEPS CARTAGENA,COLOMBIA,BOLIVAR,CARTAGENA,UAB PLAZA COLON SALUD TOTALEPS CARTAGENA_BOLIVAR_CARTAGENA
4,IPS SURA CORDOBA,COLOMBIA,BOLIVAR,CARTAGENA,IPS SURA CORDOBA_BOLIVAR_CARTAGENA
4,HOSPITAL NAVAL DE CARTAGENA,COLOMBIA,BOLIVAR,TURBACO,HOSPITAL NAVAL DE CARTAGENA_BOLIVAR_TURBACO
4,HOSPITAL NAVAL DE CARTAGENA,COLOMBIA,BOLIVAR,CARTAGENA,HOSPITAL NAVAL DE CARTAGENA_BOLIVAR_CARTAGENA
4,CLINICA CRECER,COLOMBIA,BOLIVAR,CARTAGENA,CLINICA CRECER_BOLIVAR_CARTAGENA
4,ESE HOSPITAL SAN PEDRO DE EL PIÑON SEDE CARRETO,COLOMBIA,MAGDALENA,EL PIÑON,ESE HOSPITAL SAN PEDRO DE EL PIÑON SEDE CARRETO_MAGDALENA_EL PIÑON
4,ESE HOSPITAL SAN JOSE DE GUADUAS,COLOMBIA,CUNDINAMARCA,GUADUAS,ESE HOSPITAL SAN JOSE DE GUADUAS_CUNDINAMARCA_GUADUAS
4,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL MUNICIPAL,COLOMBIA,HUILA,HOBO,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL MUNICIPAL_HUILA_HOBO
4,ESE HOSPITAL UNIVERSITARIO DEL CARIBE,COLOMBIA,BOLIVAR,CARTAGENA,ESE HOSPITAL UNIVERSITARIO DEL CARIBE_BOLIVAR_CARTAGENA
4,ESE HOSPITAL LOCAL SANTA ROSA DE LIMA,COLOMBIA,BOLIVAR,SANTA ROSA,ESE HOSPITAL LOCAL SANTA ROSA DE LIMA_BOLIVAR_SANTA ROSA
4,CLINICA COLSANITA SA,COLOMBIA,BOLIVAR,CARTAGENA,CLINICA COLSANITA SA_BOLIVAR_CARTAGENA
4,PROVIDA IPS LTDA,COLOMBIA,BOLIVAR,MAGANGUE,PROVIDA IPS LTDA_BOLIVAR_MAGANGUE
3,CASA DE JUSTICIA MONTERIA,COLOMBIA,CORDOBA,PLANETA RICA,CASA DE JUSTICIA MONTERIA_CORDOBA_PLANETA RICA
4,CORPORACION COSTA IPS EL CARMEN DE BOLIVAR,COLOMBIA,BOLIVAR,SAN JACINTO,CORPORACION COSTA IPS EL CARMEN DE BOLIVAR_BOLIVAR_SAN JACINTO
4,HOSPITAL DE PEDRAZA E.S.E.,COLOMBIA,MAGDALENA,PEDRAZA,HOSPITAL DE PEDRAZA E.S.E._MAGDALENA_PEDRAZA
4,CLINICA DE ESPECIALISTAS GUAJIRA LTDA,COLOMBIA,GUAJIRA,MAICAO,CLINICA DE ESPECIALISTAS GUAJIRA LTDA_GUAJIRA_MAICAO
4,CORPORACION COMFAMILIAR CAMACOL COODAN IPS LA 99,COLOMBIA,ANTIOQUIA,APARTADO,CORPORACION COMFAMILIAR CAMACOL COODAN IPS LA 99_ANTIOQUIA_APARTADO
