Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,CENTRO DE ATENCION EN SALUD CAFAM QUIRIGUA,COLOMBIA,BOGOTA,BOGOTA,CENTRO DE ATENCION EN SALUD CAFAM QUIRIGUA_BOGOTA_BOGOTA
4,UAP INFANTIL SAN JOSE SALUD TOTAL BARRIOS UNIDOS,COLOMBIA,BOGOTA,BOGOTA,UAP INFANTIL SAN JOSE SALUD TOTAL BARRIOS UNIDOS_BOGOTA_BOGOTA
4,ESE HOSPITAL SIMON BOLIVAR III NIVEL,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL SIMON BOLIVAR III NIVEL_BOGOTA_BOGOTA
4,UNION MEDICA DEL NORTE LTDA,COLOMBIA,BOGOTA,BOGOTA,UNION MEDICA DEL NORTE LTDA_BOGOTA_BOGOTA
4,HOSPITAL FONTIBON ESE UPA 49 INTERNACIONAL FONT,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL FONTIBON ESE UPA 49 INTERNACIONAL FONT_BOGOTA_BOGOTA
4,UPA MINUTO DE DIOS,COLOMBIA,BOGOTA,BOGOTA,UPA MINUTO DE DIOS_BOGOTA_BOGOTA
4,CORPORACION IPS SALUDCOOP CUNDINAMARCA CLINICA JO,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS SALUDCOOP CUNDINAMARCA CLINICA JO_BOGOTA_BOGOTA
4,CLINICA FUNDADORES,COLOMBIA,BOGOTA,BOGOTA,CLINICA FUNDADORES_BOGOTA_BOGOTA
4,BOGOTA AMBITO COMUNITARIO USME,COLOMBIA,BOGOTA,BOGOTA,BOGOTA AMBITO COMUNITARIO USME_BOGOTA_BOGOTA
4,EMERMEDICA SA USAQUEN,COLOMBIA,BOGOTA,BOGOTA,EMERMEDICA SA USAQUEN_BOGOTA_BOGOTA
4,CLINICA CANDELARIA IPS SAS,COLOMBIA,BOGOTA,BOGOTA,CLINICA CANDELARIA IPS SAS_BOGOTA_BOGOTA
4,UBA COOMEVA EPS CL 80,COLOMBIA,BOGOTA,BOGOTA,UBA COOMEVA EPS CL 80_BOGOTA_BOGOTA
4,ESE HOSPITAL VISTA HERMOSA I NIVEL-UPA PERDOMO,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL VISTA HERMOSA I NIVEL-UPA PERDOMO_BOGOTA_BOGOTA
4,HOSPITAL PABLO VI BOSA ESE - UPA CABAÑAS,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL PABLO VI BOSA ESE - UPA CABAÑAS_BOGOTA_BOGOTA
