ds,Dengue,Zika,Chikungunya,Varicela
2014-03-17,219855.4650886363,,,573207.3849601935
2014-03-24,220962.88589645908,,,575237.3271574993
2014-03-31,222071.97864581866,,,577303.0111125323
2014-04-07,223205.63884472527,,,579425.2460719255
2014-04-14,224360.59751080285,,,581570.5733664577
2014-04-21,225517.5808480737,,,583684.5101625001
2014-04-28,226664.09929563143,,,585756.77570165
2014-05-05,227806.02930801283,,,587835.1433954745
2014-05-12,228959.9897773952,,,589960.1486229011
2014-05-19,230137.14073277815,,,592094.969533518
2014-05-26,231086.08210984626,,,594230.941274998
2014-06-02,232036.0902733539,,156.04983376230663,596222.2231432972
2014-06-09,232971.12258408286,,22.200689186844926,598111.6773738475
2014-06-16,233893.76006789927,,-68.81553706853802,599991.1127799193
2014-06-23,234829.1374523211,,-89.52503528353992,601893.2124220545
2014-06-30,235803.7712920717,,-70.08461823160715,603767.0625903233
2014-07-07,236809.61484531086,,-65.87756188133656,605581.8685007457
2014-07-14,237788.08435401967,,-99.4399397744287,607436.1081680298
2014-07-21,238662.6862901121,,-141.71947915884292,609518.0252928959
2014-07-28,239404.0208731903,,-154.72346930109654,611927.1822080388
2014-08-04,240068.1451113983,,-146.0064854311887,614544.4655783843
2014-08-11,240762.082352116,,-169.4898187075296,617110.9434147791
2014-08-18,241558.68749954476,,-268.0331128494729,619455.2757878732
2014-08-25,242439.4475596343,,594.9944171601701,621639.5972269584
2014-09-01,243321.8999560811,,1475.6771996938292,623874.1207300641
2014-09-08,244143.64609224495,,2434.3162584429524,626297.490614535
2014-09-15,244916.8235601141,,3471.3455033269297,628857.1678737124
2014-09-22,245700.8994709488,,4539.996253809602,631401.4580536883
2014-09-29,246531.3088932762,,5596.104572797307,633858.8834831852
2014-10-06,247386.0579816435,,6628.0252760834655,636299.787025235
2014-10-13,248222.48616461927,,7643.940956756639,638827.9757097726
2014-10-20,249032.36511896126,,8646.172998081462,641445.7364190993
2014-10-27,249845.143719693,,9627.99603064747,644048.4345638552
2014-11-03,250591.77939603408,,10588.981273835552,646559.7020993577
2014-11-10,251323.45990512322,,11971.538751758126,648948.3648384769
2014-11-17,251987.2261420994,,13344.689029834042,651251.9024366691
2014-11-24,252580.97908926793,,14693.676283754801,653451.5429718074
2014-12-01,253179.2342246475,,16008.344529101285,655448.9425324233
2014-12-08,253876.64033377316,,17315.23235976993,657161.7015033842
2014-12-15,254703.9338317582,,18674.5939345329,658632.4397371496
2014-12-22,255604.88069351073,,20130.871099513162,660027.8049828608
2014-12-29,256497.63827284853,,21663.429399256456,661524.7180943446
2014-12-29,256497.63827284853,,21663.429399256456,661524.7180943446
2014-12-29,256497.63827284853,,21663.429399256456,661524.7180943446
2014-12-29,256497.63827284853,,21663.429399256456,661524.7180943446
2014-12-29,256497.63827284853,,21663.429399256456,661524.7180943446
2014-12-29,256497.63827284853,,21663.429399256456,661524.7180943446
2014-12-29,256497.63827284853,,21663.429399256456,661524.7180943446
2014-12-29,256497.63827284853,,21663.429399256456,661524.7180943446
2015-01-05,257353.7522257777,,23194.344875070055,663196.0393944674
2015-01-12,258213.5508455251,,24652.758715560096,664994.7534659986
2015-01-19,259130.0569541977,,26140.759106649715,666828.4389767282
2015-01-26,260108.56004686252,,27606.203659211937,668640.9352844994
2015-02-02,261104.28617418,,29106.301425302823,670439.7186551444
2015-02-09,262070.16280717612,,30650.73237120842,672273.1560474547
2015-02-16,262995.35576050455,,32206.91554995391,674192.7588627862
2015-02-23,263896.42110512126,,33743.02560968842,676222.3556527934
2015-03-02,264782.2992087882,,35257.37574712355,678342.34637488
2015-03-09,265639.7095632419,,36769.039308260035,680500.0460974672
2015-03-16,266453.4478343168,,38291.54185034086,682648.7478039216
2015-03-23,267232.1314999908,,39822.85090810019,684786.694030331
2015-03-30,268006.5712025391,,41356.12984733817,686952.7795338747
2015-04-06,268803.2766507518,,42881.826896884166,689175.5062381573
2015-04-13,269623.64288468804,,44410.9916327062,691430.6577222925
2015-04-20,270449.6026302376,,45943.83748248775,693662.571459486
2015-04-27,271266.0456243968,,47480.533133265584,695849.617099812
2015-05-04,272075.63842756447,,49024.75777279056,698032.1755081008
2015-05-11,272894.2357820095,,50575.56601739306,700258.5718977631
2015-05-18,273735.0444094403,,52114.170402963115,702507.7011703539
2015-05-25,274596.49662499235,,53609.339190335944,704688.0111358872
2015-06-01,275462.5645497018,,55047.94140643636,706727.0776254574
2015-06-08,276315.5770924839,,56460.6555762238,708650.087852972
2015-06-15,277153.89328127634,,57906.4708398092,710548.2468200529
2015-06-22,277999.41503229935,,58195.27603568171,712470.5740323776
2015-06-29,278880.9822719985,,58533.097719655496,714376.3857491527
2015-07-06,279799.00077951275,,58864.66909293614,716220.9932482281
2015-07-13,280703.03222987184,,59158.36206015519,718077.2281947967
2015-07-20,281515.3179261102,,59435.67515270308,720128.1958875867
2015-07-27,282193.59049127344,,59737.67090030016,722503.2018914201
2015-08-03,282778.90079345333,-10076.219025936267,60067.08539830242,725123.1181541103
2015-08-10,283374.82680918416,-8351.723590196287,60375.17059947111,727738.9695873477
2015-08-17,284066.44269835047,-7055.450415144687,60612.05704322894,730147.5668652125
2015-08-24,284852.1513030657,-5989.1178287594075,60785.647144346054,732368.7534222155
2015-08-31,285655.3624241885,-4888.765791607511,60962.818966338986,734601.5172626816
2015-09-07,286611.36025544885,-3691.7590629286747,61050.363623377954,737011.7403214369
2015-09-14,287511.34002862184,-2512.6706713371386,61220.84639348632,739579.9705103331
2015-09-21,288411.36006505816,-1423.4401222765364,61432.59127690758,742158.6340444766
2015-09-28,289355.6209750748,-347.73544288388854,61637.56186939295,744651.998100064
2015-10-05,290331.4362475219,818.2440615233287,61818.16907327761,747109.1963150203
2015-10-12,291295.22674664273,2059.1478349282497,61981.17014384069,749639.8297443707
2015-10-19,292230.31498247024,3279.454372490791,62131.03598072684,752269.4815500802
2015-10-26,293162.2516509265,4459.539392964078,62261.69048606538,754906.1370504466
2015-11-02,294113.7646411432,5690.844572616458,62370.63025740098,757441.1125284702
2015-11-09,295059.6092049865,7029.649172281589,62466.31423751425,759848.8638147842
2015-11-16,295945.1750722366,8383.496700353033,62553.54256280883,762166.2936190015
2015-11-23,296755.1109637562,9621.205171159529,62863.02825427621,764390.13210395
