,Dengue,Varicela,Chikungunya,Zika
5/13/2013,167677.2801,491418.7307,NA,NA
5/20/2013,169054.5408,492900.5018,NA,NA
5/27/2013,170729.0131,494998.7484,NA,NA
6/3/2013,172135.2397,496649.4236,NA,NA
6/10/2013,173502.4241,498103.1171,NA,NA
6/17/2013,174944.7617,499781.4253,NA,NA
6/24/2013,176256.5015,500978.6389,NA,NA
7/1/2013,177501.1876,502226.3489,NA,NA
7/8/2013,179189.6066,503841.2071,NA,NA
7/15/2013,180687.3169,505534.227,NA,NA
7/22/2013,182257.1623,507347.5259,NA,NA
7/29/2013,183463.532,508854.5572,NA,NA
8/5/2013,184560.1632,510694.6829,NA,NA
8/12/2013,185633.3512,512488.5666,NA,NA
8/19/2013,186550.9098,514307.8547,NA,NA
8/26/2013,187756.7217,516260.9148,NA,NA
9/2/2013,188607.5025,518463.7555,NA,NA
9/9/2013,189671.7146,520690.2124,NA,NA
9/16/2013,190880.8338,522825.0136,NA,NA
9/23/2013,192001.9677,525320.9771,NA,NA
9/30/2013,193198.9545,527325.4835,NA,NA
10/7/2013,194431.9431,529566.0571,NA,NA
10/14/2013,195446.2805,531978.7964,NA,NA
10/21/2013,196806.9102,535005.8529,NA,NA
10/28/2013,197950.7007,537476.3128,NA,NA
11/4/2013,199075.6474,539786.2829,NA,NA
11/11/2013,200235.9119,542251.6924,NA,NA
11/18/2013,201567.0845,544765.3508,NA,NA
11/25/2013,202787.2965,546907.271,NA,NA
12/2/2013,203798.7357,548638.5174,NA,NA
12/9/2013,205035.6816,550465.8883,NA,NA
12/16/2013,206191.6558,552014.4298,NA,NA
12/23/2013,207034.43,553181.0364,NA,NA
12/30/2013,207732.3029,554260.7504,NA,NA
1/6/2014,209760.2312,555694.5687,NA,NA
1/13/2014,211329.2785,557623.8909,NA,NA
1/20/2014,212709.989,559111.2383,NA,NA
1/27/2014,214350.0075,560752.1373,NA,NA
2/3/2014,215232.629,562339.8666,NA,NA
2/10/2014,216386.1527,563735.2424,NA,NA
2/17/2014,217394.8015,565561.8844,NA,NA
2/24/2014,218448.0737,567456.4352,NA,NA
3/3/2014,219305.3481,569162.7728,NA,NA
3/10/2014,220268.9543,571402.1284,NA,NA
3/17/2014,221303.4414,573720.0934,NA,NA
3/24/2014,222127.7906,575668.5524,NA,NA
3/31/2014,223002.0228,577860.8296,NA,NA
4/7/2014,224104.5074,579899.4936,NA,NA
4/14/2014,224815.9218,581546.5738,NA,NA
4/21/2014,225632.1087,583091.1867,NA,NA
4/28/2014,226665.6599,585590.364,NA,NA
5/5/2014,227540.7847,587633.5158,NA,NA
5/12/2014,228438.2119,589919.8687,NA,NA
5/19/2014,229258.6453,591837.8284,NA,NA
5/26/2014,230272.2347,594195.3625,NA,NA
6/2/2014,230898.6359,596164.0331,12.99418622,NA
6/9/2014,232124.0737,598551.4728,22.99508067,NA
6/16/2014,233154.9318,600543.8284,32.97258536,NA
6/23/2014,233956.5744,601931.1255,39.24341669,NA
6/30/2014,234881.1074,603423.2018,43.07749198,NA
7/7/2014,236073.548,605623.2557,52.72959356,NA
7/14/2014,237200.5606,607833.7137,66.8408208,NA
7/21/2014,238202.2093,609977.988,83.76931318,NA
7/28/2014,239304.2426,612008.0103,94.36900284,NA
8/4/2014,240286.2131,613947.3284,109.5428268,NA
8/11/2014,241108.9493,615916.6874,135.6295083,NA
8/18/2014,242097.3249,618091.258,163.7951675,NA
8/25/2014,242948.926,620422.8223,224.0312989,NA
9/1/2014,243673.1091,622769.24,351.5080907,NA
9/8/2014,244764.1063,625238.3544,679.4207424,NA
9/15/2014,245850.5177,627984.7351,1867.379911,NA
9/22/2014,246894.6084,630591.9824,4154.037636,NA
9/29/2014,247764.1927,633299.4129,6069.260038,NA
10/6/2014,248774.5855,635870.0516,7104.647737,NA
10/13/2014,249684.292,638581.7329,8069.445443,NA
10/20/2014,250770.7924,641621.1083,9337.854429,NA
10/27/2014,251833.8595,644250.456,10377.57004,NA
11/3/2014,252540.5664,646806.3324,11050.17633,NA
11/10/2014,253266.9225,649470.7105,12189.20233,NA
