date,Dengue,Zika,Chikungunya,Varicela
2011-04-18,109799.5234375,,,268098.25
2011-04-25,110020.09375,,,270372.65625
2011-05-02,110249.6796875,,,272708.1875
2011-05-09,110480.1484375,,,275063.84375
2011-05-16,110713.90625,,,277540.90625
2011-05-23,110957.7890625,,,280011.0
2011-05-30,111200.9375,,,282511.84375
2011-06-06,111440.1640625,,,285014.40625
2011-06-13,111683.8203125,,,287452.5625
2011-06-20,111922.4765625,,,289830.84375
2011-06-27,112153.25,,,292061.8125
2011-07-04,112381.3984375,,,294245.8125
2011-07-11,112617.0703125,,,296391.71875
2011-07-18,112845.265625,,,298623.15625
2011-07-25,113069.0234375,,,300799.25
2011-08-01,113279.2890625,,,303053.0625
2011-08-08,113495.40625,,,305315.125
2011-08-15,113720.25,,,307602.375
2011-08-22,113943.265625,,,309955.96875
2011-08-29,114162.703125,,,312429.5
2011-09-05,114377.4921875,,,315079.0625
2011-09-12,114587.8984375,,,317877.21875
2011-09-19,114792.4453125,,,320869.46875
2011-09-26,115009.1015625,,,324018.53125
2011-10-03,115225.421875,,,327291.96875
2011-10-10,115441.1171875,,,330557.28125
2011-10-17,115658.6171875,,,333773.6875
2011-10-24,115879.9765625,,,336954.65625
2011-10-31,116095.125,,,339950.09375
2011-11-07,116313.78125,,,342964.21875
2011-11-14,116544.2734375,,,345940.71875
2011-11-21,116777.1875,,,348841.34375
2011-11-28,117011.7890625,,,351570.5625
2011-12-05,117258.453125,,,354152.625
2011-12-12,117512.6484375,,,356481.75
2011-12-19,117772.234375,,,358575.375
2011-12-26,118039.8828125,,,360442.28125
2012-01-02,118314.6328125,,,362064.03125
2012-01-09,118665.7109375,,,363737.71875
2012-01-16,119076.0234375,,,365343.96875
2012-01-23,119536.203125,,,366944.125
2012-01-30,120037.0234375,,,368513.125
2012-02-06,120558.0703125,,,370098.8125
2012-02-13,121104.1171875,,,371613.53125
2012-02-20,121665.1171875,,,373125.78125
2012-02-27,122256.53125,,,374652.9375
2012-03-05,122849.6328125,,,376209.03125
2012-03-12,123445.6015625,,,377835.46875
2012-03-19,124006.5078125,,,379531.125
2012-03-26,124558.4765625,,,381313.21875
2012-04-02,125048.9140625,,,383090.625
2012-04-09,125504.4765625,,,384853.6875
2012-04-16,125977.9765625,,,386714.75
2012-04-23,126467.5703125,,,388600.71875
2012-04-30,126948.5546875,,,390598.34375
2012-05-07,127446.4140625,,,392605.84375
2012-05-14,127955.21875,,,394645.875
2012-05-21,128452.375,,,396624.40625
2012-05-28,128948.8984375,,,398619.625
2012-06-04,129489.0546875,,,400553.40625
2012-06-11,130048.6328125,,,402456.0625
2012-06-18,130610.625,,,404299.71875
2012-06-25,131163.546875,,,406022.34375
2012-07-02,131701.28125,,,407653.25
2012-07-09,132245.03125,,,409280.375
2012-07-16,132782.390625,,,410985.625
2012-07-23,133295.96875,,,412688.3125
2012-07-30,133792.578125,,,414445.90625
2012-08-06,134269.59375,,,416215.9375
2012-08-13,134720.4375,,,418004.65625
2012-08-20,135153.203125,,,419827.6875
2012-08-27,135586.0,,,421694.5625
2012-09-03,136031.46875,,,423692.1875
2012-09-10,136475.0,,,425771.5
2012-09-17,136910.65625,,,427975.96875
2012-09-24,137355.46875,,,430314.125
2012-10-01,137797.015625,,,432745.34375
2012-10-08,138238.9375,,,435242.5625
2012-10-15,138703.234375,,,437704.0
