"date","Dengue","Zika","Chicungunya","Varicela"
2015-09-28,278286.1047019,211.326292962874,62645.686224286,751255.214170268
2015-10-05,279044.490065251,304.20919219674,63068.783926797,753298.776497766
2015-10-12,279802.655958965,433.705658937651,63478.1583343436,755340.145068841
2015-10-19,280560.60071952,613.210567110637,63874.5141562743,757379.292771061
2015-10-26,281318.322710846,860.568360019255,64258.4998285764,759416.192610621
2015-11-02,282075.820324178,1199.25162044731,64630.7122754267,761450.817713808
2015-11-09,282833.091977895,1659.60264917211,64991.7013742475,763483.141328466
2015-11-16,283590.136117372,2279.88312248659,65341.9741176553,765513.136825425
2015-11-23,284346.951214819,3106.61382678982,65681.9984729941,767540.77769993
2015-11-30,285103.535769131,4193.30122628461,66012.2069455689,769566.037573048
2015-12-07,285859.888305735,5596.23685024128,66332.9998556293,771588.890193051
2015-12-14,286616.007376429,7365.9813950242,66644.7483418793,773609.309436791
2015-12-21,287371.891559234,9534.15624328979,66947.7971060818,775627.269311057
2015-12-28,288127.539458235,12098.0433706516,67242.4669143816,777642.743953908
2016-01-04,288882.949703429,15009.6547268958,67529.0568714614,779655.707635996
2016-01-11,289638.120950568,18177.7935795319,67807.846483708,781666.134761869
2016-01-18,290393.051881007,21486.5330867891,68079.0975273134,783673.999871254
2016-01-25,291147.741201547,24822.790869,68343.0557367482,785679.277640328
2016-02-01,291902.187644282,28099.0623068036,68599.9523284013,787681.942882963
2016-02-08,292656.389966442,31262.001463343,68850.0053734257,789681.970551966
2016-02-15,293410.346950242,34287.9086941215,69093.4210330125,791679.335740284
2016-02-22,294164.057402724,37172.2608734847,69330.3946684669,793674.013682212
2016-02-29,294917.520155605,39919.669510321,69561.1118375994,795665.97975456
2016-03-07,295670.734065121,42537.0858762947,69785.749188097,797655.209477823
2016-03-14,296423.698011874,45030.3328725827,70004.4752577167,799641.678517321
2016-03-21,297176.410900677,47402.9620087748,70217.4511903451,801625.362684321
2016-03-28,297928.8716604,49656.3881887434,70424.8313762193,803606.237937145
2016-04-04,298681.079243818,51790.5617698639,70626.764023887,805584.280382262
2016-04-11,299433.032627452,53804.7503679132,70823.3916708187,807559.466275352
2016-04-18,300184.730811422,55698.2225039308,71014.8516389615,809531.772022363
2016-04-25,300936.172819289,57470.7551301785,71201.2764409455,811501.17418054
2016-05-02,301687.357697902,59122.9555661847,71382.7941421205,813467.649459444
2016-05-09,302438.284517248,60656.4203539308,71559.5286831076,815431.174721946
2016-05-16,303188.952370295,62073.7654624311,71731.6001670996,817391.726985206
2016-05-23,303939.36037284,63378.5637923479,71899.1251157284,819349.283421633
2016-05-30,304689.50766336,64575.2224263298,72062.2166969408,821303.821359824
2016-06-06,305439.393402854,65668.8264765934,72220.984927979,823255.318285493
2016-06-13,306189.016774696,66664.9702904543,72375.5368562472,825203.751842365
2016-06-20,306938.376984479,67569.5910330558,72525.9767205617,827149.099833071
2016-06-27,307687.473259865,68388.8146909471,72672.4060950214,829091.34022001
2016-07-04,308436.304850435,69128.8204909864,72814.9240175045,831030.451126199
2016-07-11,309184.871027535,69795.7266130409,72953.6271045804,832966.410836101
2016-07-18,309933.171084125,70395.4978103017,73088.6096544394,834899.19779644
2016-07-25,310681.204334632,70933.874011298,73219.9637392662,836828.790616989
2016-08-01,311428.970114795,71416.3180214077,73347.7792883286,838755.168071347
2016-08-08,312176.467781518,71847.9799313299,73472.1441629135,840678.309097692
2016-08-15,312923.696712718,72233.6756530755,73593.1442241149,842598.192799522
2016-08-22,313670.656307177,72577.8770381476,73710.8633943663,844514.798446368
2016-08-29,314417.345984392,72884.7112065212,73825.3837135068,846428.105474497
2016-09-05,315163.765184427,73157.9669675112,73936.7853900806,848338.093487592
2016-09-12,315909.913367761,73401.1065005429,74045.1468484874,850244.742257416
2016-09-19,316655.790015146,73617.2807551797,74150.5447725278,852148.031724452
2016-09-26,317401.394627452,73809.3473063948,74253.0541458226,854047.941998533
2016-10-03,318146.726725524,73979.8896520039,74352.7482895276,855944.453359447
2016-10-10,318891.785850034,74131.2371591466,74449.6988977115,857837.546257526
2016-10-17,319636.571561332,74265.4850543842,74543.976070721,859727.201314216
2016-10-24,320381.083439302,74384.514008487,74635.6483468132,861613.399322628
2016-10-31,321125.321083213,74490.0089949016,74724.7827323014,863496.121248074
2016-11-07,321869.284111578,74583.4772034887,74811.4447304252,865375.348228578
2016-11-14,322612.972162003,74666.2648719403,74895.6983691304,867251.061575377
2016-11-21,323356.384891044,74739.5729597445,74977.6062279159,869123.2427734
2016-11-28,324099.521974065,74804.4716368664,75057.2294638827,870991.873481725
2016-12-05,324842.383105091,74861.9135942804,75134.6278371033,872856.935534021
2016-12-12,325584.967996662,74912.7462085885,75209.8597354079,874718.410938979
2016-12-19,326327.276379696,74957.7226102652,75282.9821986716,876576.28188071
2016-12-26,327069.308003339,74997.5117163269,75354.0509426731,878430.530719141
2017-01-02,327811.062634829,75032.707294838,75423.1203825821,880281.13999038
2017-01-09,328552.540059348,75063.8361317972,75490.2436561241,882128.092407069
2017-01-16,329293.740079883,75091.3653715076,75555.4726464617,883971.370858726
2017-01-23,330034.662517085,75115.7091002439,75618.8580048233,885810.958412051
2017-01-30,330775.307209129,75137.234240459,75680.4491729055,887646.838311235
2017-02-06,331515.674011569,75156.2658193495,75740.2944050663,889478.993978239
2017-02-13,332255.762797204,75173.0916716592,75798.4407903255,891307.409013056
2017-02-20,332995.573455935,75187.9666323848,75854.9342741806,893132.067193963
2017-02-27,333735.105894627,75201.1162707464,75909.8196802464,894952.952477746
2017-03-06,334474.360036971,75212.7402125206,75963.1407317214,896770.048999919
2017-03-13,335213.335823343,75223.0150937028,76014.9400726813,898583.341074911
2017-03-20,335952.033210671,75232.0971845283,76065.259289201,900392.813196253
2017-03-27,336690.452172294,75240.1247191732,76114.1389303006,902198.450036733
2017-04-03,337428.592697828,75247.2199630006,76161.6185287134,904000.236448543
2017-04-10,338166.454793027,75253.491046028,76207.7366214699,905798.15746341
2017-04-17,338904.038479652,75259.0335883523,76252.5307702933,907592.198292701
2017-04-24,339641.343795329,75263.9321405973,76296.0375818005,909382.34432752
2017-05-01,340378.370793423,75268.2614600085,76338.292727501,911168.581138788
2017-05-08,341115.119542894,75272.0876406149,76379.3309635892,912950.8944773
2017-05-15,341851.590128173,75275.4691138903,76419.1861505218,914729.270273777
2017-05-22,342587.782649022,75278.4575345476,76457.891272374,916503.694638886
2017-05-29,343323.697220404,75281.0985644966,76495.4784559687,918274.153863261
2017-06-05,344059.333972352,75283.4325665489,76531.9789897719,920040.634417493
2017-06-12,344794.693049835,75285.4952181635,76567.4233425484,921803.122952118
2017-06-19,345529.774612628,75287.3180543756,76601.8411817715,923561.606297575
2017-06-26,346264.578835182,75288.9289480199,76635.2613917832,925316.07146416
2017-07-03,346999.105906494,75290.3525344465,76667.7120916976,927066.505641958
2017-07-10,347733.356029977,75291.6105871071,76699.2206530443,928812.896200764
2017-07-17,348467.32942333,75292.7223496693,76729.8137171482,930555.230689982
2017-07-24,349201.026318414,75293.7048296672,76759.5172122401,932293.496838515
2017-07-31,349934.446961118,75294.5730581262,76788.3563702974,934027.682554637
2017-08-07,350667.591611236,75295.3403190921,76816.3557436097,935757.775925853
2017-08-14,351400.460542339,75296.0183525416,76843.5392210687,937483.76521874
2017-08-21,352133.05404165,75296.6175337546,76869.9300441792,939205.638878774
2017-08-28,352865.372409916,75297.1470318706,76895.5508227912,940923.385530145
2017-09-04,353597.415961285,75297.6149500419,76920.4235505497,942636.993975558
2017-09-11,354329.18502318,75298.0284493138,76944.5696200646,944346.453196014
2017-09-18,355060.679936177,75298.3938581204,76968.0098377966,946051.752350581
2017-09-25,355791.901053879,75298.7167690614,76990.764438663,947752.880776155
2017-10-02,356522.848742795,75299.0021244378,77012.8531003609,949449.827987195
2017-10-09,357253.523382218,75299.2542918492,77034.2949574092,951142.583675458
2017-10-16,357983.925364102,75299.4771310071,77055.1086149119,952831.137709709
2017-10-23,358714.055092943,75299.6740527839,77075.3121620415,954515.480135427
2017-10-30,359443.912985653,75299.848071399,77094.9231852463,956195.601174488
2017-11-06,360173.499471449,75300.0018505388,77113.9587811821,957871.491224842
2017-11-13,360902.814991725,75300.1377441161,77132.4355693707,959543.140860175
2017-11-20,361631.859999938,75300.2578322914,77150.3697045877,961210.540829557
2017-11-27,362360.634961489,75300.3639533059,77167.7768889824,962873.682057073
2017-12-04,363089.140353603,75300.4577316135,77184.6723839309,964532.555641455
2017-12-11,363817.376665215,75300.5406027432,77201.0710216278,966187.15285568
2017-12-18,364545.344396853,75300.6138352685,77216.9872164173,967837.46514658
2017-12-25,365273.04406052,75300.6785502245,77232.434975868,969483.484134417
2018-01-01,366000.476179579,75300.7357382654,77247.4279115941,971125.201612462
2018-01-08,366727.641288641,75300.786274828,77261.9792498276,972762.609546552
2018-01-15,367454.539933447,75300.8309335311,77276.1018417433,974395.700074645
2018-01-22,368181.172670759,75300.8703980173,77289.8081735412,976024.46550635
2018-01-29,368907.540068242,75300.9052724174,77303.1103762906,977648.898322458
2018-02-05,369633.642704354,75300.9360905973,77316.0202355383,979268.991174453
2018-02-12,370359.481168235,75300.963324331,77328.5492006856,980884.736884018
2018-02-19,371085.056059593,75300.9873905214,77340.708394138,982496.128442523
2018-02-26,371810.367988598,75301.0086575824,77352.5086202309,984103.159010509
2018-03-05,372535.417575766,75301.0274510782,77363.9603739359,985705.821917157
2018-03-12,373260.205451855,75301.0440587077,77375.0738493521,987304.110659744
2018-03-19,373984.73225775,75301.0587347074,77385.8589479843,988898.018903097
2018-03-26,374708.998644363,75301.0717037441,77396.3252868151,990487.540479025
2018-04-02,375433.005272517,75301.0831643541,77406.4822061723,992072.669385751
2018-04-09,376156.752812844,75301.0932919818,77416.3387773974,993653.399787329
2018-04-16,376880.241945676,75301.1022416658,77425.9038103181,995229.726013048
2018-04-23,377603.473360941,75301.1101504127,77435.1858605292,996801.642556835
2018-04-30,378326.447758055,75301.1171392934,77444.1932364861,998369.14407664
2018-05-07,379049.16584582,75301.1233152975,77452.9340064144,999932.225393814
2018-05-14,379771.62834232,75301.1287729705,77461.4160050399,1001490.88149248
2018-05-21,380493.835974812,75301.1335958615,77469.6468401421,1003045.10751889
2018-05-28,381215.789479631,75301.1378578019,77477.6338989366,1004594.89878077
2018-06-04,381937.489602081,75301.1416240358,77485.3843542887,1006140.25074669
2018-06-11,382658.937096338,75301.1449522187,77492.9051707622,1007681.15904536
2018-06-18,383380.132725345,75301.1478933006,77500.2031105085,1009217.61946497
2018-06-25,384101.077260713,75301.1504923049,77507.2847389973,1010749.62795251
