date,dengue_no_split,zika,varicela,chicunguya
1/18/2016,284118.6067,34225.75963,806565.8139,64196.86566
1/25/2016,284897.6178,35451.62587,808611.6215,64547.84675
2/1/2016,285676.8801,36652.76728,810650.5967,64890.11165
2/8/2016,286456.3888,37829.08242,812682.7087,65223.82115
2/15/2016,287236.1393,38980.50912,814707.9268,65549.13627
2/22/2016,288016.1268,40107.02303,816726.2218,65866.21794
2/29/2016,288796.3468,41208.63609,818737.5646,66175.22682
3/7/2016,289576.7944,42285.39493,820741.9269,66476.32313
3/14/2016,290357.465,43337.37922,822739.2812,66769.66651
3/21/2016,291138.354,44364.69999,824729.6003,67055.41578
3/28/2016,291919.4565,45367.49795,826712.8577,67333.72881
4/4/2016,292700.7678,46345.9418,828689.0278,67604.76236
4/11/2016,293482.2833,47300.22646,830658.0854,67868.67197
4/18/2016,294263.9982,48230.57144,832620.0062,68125.61189
4/25/2016,295045.9079,49137.2191,834574.7663,68375.73491
5/2/2016,295828.0075,50020.43299,836522.3424,68619.19223
5/9/2016,296610.2924,50880.49623,838462.7121,68856.13342
5/16/2016,297392.7577,51717.70988,840395.8531,69086.70627
5/23/2016,298175.3987,52532.39137,842321.7445,69311.05676
5/30/2016,298958.2108,53324.87296,844240.3653,69529.32896
6/6/2016,299741.189,54095.50027,846151.6957,69741.66497
6/13/2016,300524.3287,54844.63086,848055.7161,69948.20488
6/20/2016,301307.6252,55572.63281,849952.4077,70149.08671
6/27/2016,302091.0735,56279.88343,851841.7521,70344.44634
7/4/2016,302874.669,56966.76796,853723.7319,70534.41752
7/11/2016,303658.4069,57633.67835,855598.3301,70719.13179
7/18/2016,304442.2824,58281.01217,857465.5302,70898.71846
7/25/2016,305226.2907,58909.17138,859325.3166,71073.3046
8/1/2016,306010.427,59518.56144,861177.674,71243.01501
8/8/2016,306794.6867,60109.59027,863022.5876,71407.97225
8/15/2016,307579.0648,60682.66729,864860.0437,71568.29655
8/22/2016,308363.5565,61238.20261,866690.0288,71724.10587
8/29/2016,309148.1572,61776.60625,868512.53,71875.51588
9/5/2016,309932.8619,62298.28721,870327.5352,72022.63994
9/12/2016,310717.6659,62803.653,872135.0328,72165.58914
9/19/2016,311502.5644,63293.10884,873935.0115,72304.47227
9/26/2016,312287.5525,63767.05705,875727.4608,72439.39582
10/3/2016,313072.6255,64225.89666,877512.3709,72570.46403
10/10/2016,313857.7785,64670.02276,879289.7325,72697.779
10/17/2016,314643.0068,65099.82619,881059.5366,72821.4407
10/24/2016,315428.3055,65515.69299,882821.7752,72941.54669
10/31/2016,316213.6697,65918.00404,884576.4403,73058.19225
11/7/2016,316999.0948,66307.13472,886323.5249,73171.47065
11/14/2016,317784.5758,66683.4547,888063.0224,73281.47301
11/21/2016,318570.1081,67047.32757,889794.9267,73388.28842
11/28/2016,319355.6866,67399.1107,891519.2325,73492.00382
12/5/2016,320141.3066,67739.15499,893235.9346,
12/12/2016,320926.9634,68067.80474,894945.0286,
12/19/2016,321712.652,68385.39745,896646.5105,
12/26/2016,322498.3676,68692.26376,898340.377,
1/2/2017,323284.1055,68988.72732,900026.6252,73592.70409
1/9/2017,324069.8607,69275.10473,901705.2527,73690.47209
1/16/2017,324855.6285,69551.70553,903376.2577,73785.38866
1/23/2017,325641.4041,69818.83211,905039.6388,73877.53272
1/30/2017,326427.1825,70076.77975,906695.3951,73966.98124
2/6/2017,327212.959,70325.83656,908343.5263,74053.80927
2/13/2017,327998.7288,70566.28359,909984.0324,74138.09004
2/20/2017,328784.487,70798.39478,911616.9141,74219.89492
