SEMANA,ANO,country,state,city,count,idx_city,Latitude,Longitude,date,week
1,2007,colombia,sucre,ovejas,1,COLOMBIA_SUCRE_OVEJAS,9.5538396,-75.18883090053416,2007-01-07,07-01-2007
1,2007,colombia,sucre,san marcos,1,COLOMBIA_SUCRE_SAN MARCOS,8.6618609,-75.1307644,2007-01-07,07-01-2007
1,2007,colombia,sucre,san pedro,1,COLOMBIA_SUCRE_SAN PEDRO,9.39663005,-75.03354633922669,2007-01-07,07-01-2007
1,2007,colombia,sucre,sincelejo,5,COLOMBIA_SUCRE_SINCELEJO,9.2973386,-75.3926601,2007-01-07,07-01-2007
1,2007,colombia,tolima,tolima municipio desconocido,1,COLOMBIA_TOLIMA_* TOLIMA. MUNICIPIO DESCONOCIDO,,,2007-01-07,07-01-2007
1,2007,colombia,tolima,coyaima,1,COLOMBIA_TOLIMA_COYAIMA,3.7993906,-75.1945858,2007-01-07,07-01-2007
1,2007,colombia,tolima,espinal,1,COLOMBIA_TOLIMA_ESPINAL,4.1503044,-74.8845895,2007-01-07,07-01-2007
1,2007,colombia,tolima,ibague,1,COLOMBIA_TOLIMA_IBAGUE,4.4386033,-75.2108857,2007-01-07,07-01-2007
1,2007,colombia,tolima,mariquita,1,COLOMBIA_TOLIMA_MARIQUITA,5.1974195,-74.8939527,2007-01-07,07-01-2007
1,2007,colombia,tolima,purificacion,4,COLOMBIA_TOLIMA_PURIFICACION,3.8582108,-74.9308216,2007-01-07,07-01-2007
1,2007,colombia,valle,cali,4,COLOMBIA_VALLE_CALI,3.4519988,-76.5325259,2007-01-07,07-01-2007
1,2007,colombia,valle,palmira,3,COLOMBIA_VALLE_PALMIRA,3.5308373,-76.2988048,2007-01-07,07-01-2007
1,2007,colombia,valle,pradera,1,COLOMBIA_VALLE_PRADERA,3.4196687,-76.2424378,2007-01-07,07-01-2007
1,2007,colombia,valle,ulloa,1,COLOMBIA_VALLE_ULLOA,4.7081028499999995,-75.78125386970734,2007-01-07,07-01-2007
2,2007,colombia,antioquia,antioquia municipio desconocido,1,COLOMBIA_ANTIOQUIA_* ANTIOQUIA. MUNICIPIO DESCONOCIDO,,,2007-01-14,14-01-2007
2,2007,colombia,antioquia,puerto triunfo,1,COLOMBIA_ANTIOQUIA_PUERTO TRIUNFO,5.8689335,-74.6407965,2007-01-14,14-01-2007
