SEMANA,ANO,Casos,DATE
27,2014,1857,2014-06-30
28,2014,2128,2014-07-07
29,2014,2050,2014-07-14
30,2014,2088,2014-07-21
31,2014,1992,2014-07-28
32,2014,1973,2014-08-04
33,2014,2129,2014-08-11
34,2014,2162,2014-08-18
35,2014,2332,2014-08-25
36,2014,2329,2014-09-01
37,2014,2620,2014-09-08
38,2014,2531,2014-09-15
39,2014,2683,2014-09-22
40,2014,2581,2014-09-29
41,2014,2669,2014-10-06
42,2014,2891,2014-10-13
43,2014,2653,2014-10-20
44,2014,2726,2014-10-27
45,2014,2583,2014-11-03
46,2014,2424,2014-11-10
47,2014,2190,2014-11-17
48,2014,2107,2014-11-24
49,2014,1785,2014-12-01
50,2014,1667,2014-12-08
51,2014,1645,2014-12-15
52,2014,1294,2014-12-22
1,2015,1570,2014-12-29
53,2014,1258,2014-12-29
2,2015,1597,2015-01-05
3,2015,1651,2015-01-12
4,2015,1457,2015-01-19
5,2015,1713,2015-01-26
6,2015,1585,2015-02-02
7,2015,1766,2015-02-09
8,2015,1800,2015-02-16
9,2015,2022,2015-02-23
10,2015,2161,2015-03-02
11,2015,2035,2015-03-09
12,2015,1825,2015-03-16
13,2015,2023,2015-03-23
14,2015,2317,2015-03-30
15,2015,2047,2015-04-06
16,2015,2217,2015-04-13
17,2015,2012,2015-04-20
18,2015,2214,2015-04-27
19,2015,1984,2015-05-04
20,2015,2223,2015-05-11
21,2015,2235,2015-05-18
22,2015,2065,2015-05-25
23,2015,2126,2015-06-01
24,2015,1922,2015-06-08
25,2015,1833,2015-06-15
26,2015,2001,2015-06-22
27,2015,2226,2015-06-29
28,2015,1946,2015-07-06
29,2015,2138,2015-07-13
30,2015,2161,2015-07-20
31,2015,2249,2015-07-27
32,2015,2432,2015-08-03
33,2015,2498,2015-08-10
34,2015,2608,2015-08-17
35,2015,2621,2015-08-24
36,2015,2768,2015-08-31
37,2015,2812,2015-09-07
38,2015,2758,2015-09-14
39,2015,2658,2015-09-21
40,2015,2562,2015-09-28
41,2015,3001,2015-10-05
42,2015,2641,2015-10-12
43,2015,2720,2015-10-19
44,2015,2757,2015-10-26
45,2015,2690,2015-11-02
46,2015,2536,2015-11-09
47,2015,2033,2015-11-16
48,2015,1995,2015-11-23
49,2015,1661,2015-11-30
50,2015,1566,2015-12-07
51,2015,1349,2015-12-14
52,2015,1246,2015-12-21
1,2016,1615,2016-01-04
2,2016,1542,2016-01-11
3,2016,1589,2016-01-18
4,2016,1444,2016-01-25
5,2016,1624,2016-02-01
6,2016,1640,2016-02-08
7,2016,1769,2016-02-15
8,2016,1886,2016-02-22
9,2016,2069,2016-02-29
10,2016,2169,2016-03-07
11,2016,1897,2016-03-14
12,2016,2116,2016-03-21
13,2016,2484,2016-03-28
14,2016,2232,2016-04-04
15,2016,2788,2016-04-11
16,2016,2329,2016-04-18
17,2016,2538,2016-04-25
18,2016,2521,2016-05-02
19,2016,2425,2016-05-09
20,2016,2719,2016-05-16
21,2016,2366,2016-05-23
22,2016,2346,2016-05-30
23,2016,2051,2016-06-06
24,2016,1986,2016-06-13
25,2016,1902,2016-06-20
26,2016,1886,2016-06-27
27,2016,2036,2016-07-04
28,2016,1996,2016-07-11
29,2016,1955,2016-07-18
30,2016,1986,2016-07-25
31,2016,2308,2016-08-01
32,2016,2114,2016-08-08
33,2016,2379,2016-08-15
34,2016,2244,2016-08-22
35,2016,2457,2016-08-29
36,2016,2506,2016-09-05
37,2016,2583,2016-09-12
38,2016,2724,2016-09-19
39,2016,2889,2016-09-26
40,2016,2657,2016-10-03
41,2016,2541,2016-10-10
42,2016,3158,2016-10-17
43,2016,2471,2016-10-24
44,2016,2838,2016-10-31
45,2016,2531,2016-11-07
46,2016,2488,2016-11-14
47,2016,2034,2016-11-21
48,2016,1897,2016-11-28
49,2016,1746,2016-12-05
50,2016,1518,2016-12-12
51,2016,1403,2016-12-19
52,2016,1008,2016-12-26
1,2017,1516,2017-01-02
2,2017,1356,2017-01-09
3,2017,1593,2017-01-16
4,2017,1473,2017-01-23
5,2017,1562,2017-01-30
6,2017,1665,2017-02-06
7,2017,1665,2017-02-13
8,2017,1688,2017-02-20
9,2017,1937,2017-02-27
10,2017,2054,2017-03-06
11,2017,1921,2017-03-13
12,2017,2282,2017-03-20
13,2017,2207,2017-03-27
14,2017,2060,2017-04-03
15,2017,1969,2017-04-10
16,2017,2299,2017-04-17
17,2017,1930,2017-04-24
18,2017,2233,2017-05-01
19,2017,1889,2017-05-08
20,2017,2030,2017-05-15
21,2017,1898,2017-05-22
22,2017,1754,2017-05-29
23,2017,1755,2017-06-05
24,2017,1367,2017-06-12
25,2017,1295,2017-06-19
26,2017,1418,2017-06-26
27,2017,1428,2017-07-03
28,2017,1437,2017-07-10
29,2017,1344,2017-07-17
30,2017,1448,2017-07-24
31,2017,1431,2017-07-31
32,2017,1575,2017-08-07
33,2017,1585,2017-08-14
34,2017,1676,2017-08-21
35,2017,1776,2017-08-28
