week,google_physician,google_hospital,google_pharmacy,google_symptom,country
2020-08-24,25,7,4,27,COL
2020-08-31,28,8,5,27,COL
2020-09-07,24,7,4,27,COL
2020-09-14,26,7,5,26,COL
2020-09-21,27,7,4,28,COL
2020-09-28,27,7,5,29,COL
2020-10-05,25,7,4,30,COL
2020-10-12,27,7,4,30,COL
2020-10-19,26,7,4,30,COL
2020-10-26,24,7,4,27,COL
2020-11-02,25,7,4,27,COL
2020-11-09,22,7,4,25,COL
2020-11-16,25,7,5,30,COL
2020-11-23,46,7,5,30,COL
2020-11-30,24,7,5,33,COL
2020-12-07,26,8,5,35,COL
2020-12-14,19,6,4,37,COL
2020-12-21,21,7,5,42,COL
2020-12-28,29,8,5,42,COL
2021-01-04,29,8,5,37,COL
2021-01-11,30,8,5,33,COL
2021-01-18,27,8,5,30,COL
2021-01-25,27,7,5,27,COL
2021-02-01,25,8,5,24,COL
2021-02-08,24,8,4,24,COL
2021-02-15,25,7,4,24,COL
2021-02-22,24,8,5,23,COL
2021-03-01,24,7,5,23,COL
2021-03-08,24,7,5,23,COL
2021-03-15,23,7,4,24,COL
2021-03-22,22,7,5,29,COL
2021-03-29,24,8,5,31,COL
2021-04-05,23,8,5,30,COL
2021-04-12,23,8,5,30,COL
2021-04-19,22,8,5,28,COL
2021-04-26,21,8,4,24,COL
2021-05-03,22,8,5,27,COL
2021-05-10,23,8,5,31,COL
2021-05-17,24,8,5,30,COL
2021-05-24,25,9,4,32,COL
2021-05-31,24,7,5,35,COL
2021-06-07,25,8,4,34,COL
2021-06-14,27,7,5,35,COL
2021-06-21,25,8,5,34,COL
2021-06-28,24,8,5,32,COL
2021-07-05,25,9,5,31,COL
2021-07-12,24,7,5,29,COL
2021-07-19,24,8,4,28,COL
2021-07-26,24,7,4,29,COL
2021-08-02,25,8,5,27,COL
2021-08-09,24,8,5,26,COL
2021-08-16,25,8,5,24,COL
2021-08-23,23,8,5,24,COL
2021-08-30,23,8,5,23,COL
2021-09-06,23,8,5,24,COL
2021-09-13,24,7,5,24,COL
2021-09-20,25,8,5,23,COL
2021-09-27,25,7,5,25,COL
2021-10-04,23,7,5,24,COL
2021-10-11,16,7,4,23,COL
2021-10-18,13,7,4,23,COL
2021-10-25,12,8,5,23,COL
2021-11-01,12,8,4,24,COL
2021-11-08,12,7,4,23,COL
2021-11-15,12,8,4,22,COL
2021-11-22,25,7,5,27,COL
2021-11-29,11,7,5,24,COL
2021-12-06,10,7,5,25,COL
2021-12-13,10,6,4,30,COL
2021-12-20,11,7,5,44,COL
2021-12-27,12,8,6,56,COL
2022-01-03,12,8,6,49,COL
2022-01-10,11,8,6,40,COL
2022-01-17,11,7,6,32,COL
2022-01-24,11,8,5,28,COL
2022-01-31,11,8,5,26,COL
2022-02-07,12,8,5,24,COL
2022-02-14,12,7,5,23,COL
2022-02-21,12,8,6,23,COL
2022-02-28,12,8,5,23,COL
2022-03-07,12,8,5,24,COL
2022-03-14,12,7,5,27,COL
2022-03-21,13,9,5,26,COL
2022-03-28,13,8,5,26,COL
2022-04-04,10,7,5,26,COL
2022-04-11,13,8,5,26,COL
2022-04-18,13,8,5,25,COL
2022-04-25,13,8,5,25,COL
2022-05-02,12,8,5,25,COL
2022-05-09,11,8,5,28,COL
2022-05-16,10,8,5,31,COL
2022-05-23,11,9,5,26,COL
2022-05-30,12,9,5,25,COL
2022-06-06,11,8,5,26,COL
2022-06-13,10,8,5,27,COL
2022-06-20,11,8,5,26,COL
2022-06-27,11,8,6,29,COL
2022-07-04,12,8,5,27,COL
2022-07-11,14,9,5,29,COL
2022-07-18,14,9,5,31,COL
2022-07-25,15,8,5,29,COL
2022-08-01,11,8,5,27,COL
2022-08-08,12,8,5,29,COL
2022-08-15,11,9,5,28,COL
2022-08-22,13,9,5,28,COL
2022-08-29,14,10,5,28,COL
2022-09-05,13,9,5,26,COL
2022-09-12,14,8,5,27,COL
2022-09-19,14,9,5,25,COL
2022-09-26,16,9,5,27,COL
2022-10-03,11,9,5,26,COL
2022-10-10,14,8,5,26,COL
2022-10-17,15,9,5,25,COL
2022-10-24,12,8,5,23,COL
2022-10-31,12,8,5,26,COL
2022-11-07,14,8,5,27,COL
2022-11-14,12,7,5,24,COL
2022-11-21,22,7,4,24,COL
2022-11-28,12,6,5,24,COL
2022-12-05,13,11,5,27,COL
2022-12-12,12,11,4,25,COL
2022-12-19,11,12,4,26,COL
2022-12-26,14,14,5,26,COL
2023-01-02,14,15,5,27,COL
2023-01-09,16,16,5,27,COL
2023-01-16,16,16,5,28,COL
2023-01-23,15,16,6,25,COL
2023-01-30,17,16,6,24,COL
2023-02-06,15,16,6,25,COL
2023-02-13,14,17,5,26,COL
2023-02-20,16,17,5,26,COL
2023-02-27,18,17,6,26,COL
2023-03-06,19,17,6,26,COL
2023-03-13,17,17,6,28,COL
2023-03-20,18,17,6,28,COL
2023-03-27,14,13,6,27,COL
2023-04-03,19,18,6,27,COL
2023-04-10,19,17,6,27,COL
2023-04-17,18,18,6,27,COL
2023-04-24,17,16,6,27,COL
2023-05-01,19,17,6,29,COL
2023-05-08,21,17,6,28,COL
2023-05-15,22,16,5,28,COL
2023-05-22,20,17,6,27,COL
2023-05-29,20,17,6,26,COL
2023-06-05,20,16,6,27,COL
2023-06-12,19,17,6,27,COL
2023-06-19,18,17,6,28,COL
2023-06-26,18,16,6,27,COL
2023-07-03,18,19,6,27,COL
2023-07-10,17,16,6,26,COL
2023-07-17,18,18,6,26,COL
2023-07-24,17,17,6,25,COL
2023-07-31,20,17,6,27,COL
2023-08-07,18,16,6,25,COL
2023-08-14,17,17,6,25,COL
2023-08-21,18,18,6,26,COL
2023-08-28,18,17,6,25,COL
2023-09-04,18,17,6,24,COL
2023-09-11,17,17,6,25,COL
2023-09-18,17,17,6,25,COL
2023-09-25,17,17,6,24,COL
2023-10-02,16,17,6,24,COL
2023-10-09,18,18,6,24,COL
2023-10-16,18,16,5,25,COL
2023-10-23,16,15,5,21,COL
2023-10-30,16,18,6,24,COL
2023-11-06,15,16,5,26,COL
2023-11-13,15,17,5,23,COL
2023-11-20,17,16,6,25,COL
2023-11-27,23,14,6,24,COL
2023-12-04,14,16,5,26,COL
2023-12-11,11,14,4,24,COL
2023-12-18,12,12,5,25,COL
2023-12-25,13,15,6,25,COL
2019-12-23,35,20,1,16,DEU
2019-12-30,48,25,1,18,DEU
2020-01-06,44,26,1,18,DEU
2020-01-13,44,26,1,22,DEU
2020-01-20,48,28,1,41,DEU
2020-01-27,45,28,1,27,DEU
2020-02-03,42,24,1,24,DEU
2020-02-10,42,26,1,23,DEU
2020-02-17,43,25,1,64,DEU
2020-02-24,46,26,1,59,DEU
2020-03-02,49,30,1,85,DEU
2020-03-09,55,33,1,100,DEU
2020-03-16,46,27,1,51,DEU
2020-03-23,36,26,1,35,DEU
2020-03-30,31,23,1,27,DEU
2020-04-06,35,22,1,23,DEU
2020-04-13,40,23,1,23,DEU
2020-04-20,36,19,1,21,DEU
2020-04-27,38,22,1,21,DEU
2020-05-04,42,23,1,22,DEU
2020-05-11,37,21,1,21,DEU
2020-05-18,45,22,1,22,DEU
2020-05-25,38,22,1,19,DEU
2020-06-01,42,22,1,21,DEU
2020-06-08,43,24,1,21,DEU
2020-06-15,40,23,1,25,DEU
2020-06-22,40,23,1,27,DEU
2020-06-29,43,25,1,28,DEU
2020-07-06,41,24,1,24,DEU
2020-07-13,41,24,1,22,DEU
2020-07-20,41,24,1,22,DEU
2020-07-27,42,23,1,23,DEU
2020-08-03,43,24,1,22,DEU
2020-08-10,48,24,1,24,DEU
2020-08-17,46,27,1,25,DEU
2020-08-24,47,25,1,31,DEU
2020-08-31,47,24,1,31,DEU
2020-09-07,49,26,1,32,DEU
2020-09-14,51,25,1,31,DEU
2020-09-21,48,24,1,29,DEU
2020-09-28,50,27,1,33,DEU
2020-10-05,49,25,1,33,DEU
2020-10-12,48,24,2,39,DEU
2020-10-19,47,26,1,37,DEU
2020-10-26,43,22,1,34,DEU
2020-11-02,46,24,1,36,DEU
2020-11-09,45,25,1,34,DEU
2020-11-16,24,22,1,31,DEU
2020-11-23,24,22,1,31,DEU
2020-11-30,24,22,1,33,DEU
2020-12-07,24,22,1,34,DEU
2020-12-14,19,21,1,33,DEU
2020-12-21,20,20,1,31,DEU
2020-12-28,24,23,1,29,DEU
2021-01-04,23,22,1,26,DEU
2021-01-11,22,25,1,26,DEU
2021-01-18,23,23,1,27,DEU
2021-01-25,24,22,1,29,DEU
2021-02-01,21,20,1,26,DEU
2021-02-08,22,21,1,27,DEU
2021-02-15,23,21,1,29,DEU
2021-02-22,22,20,1,28,DEU
2021-03-01,23,19,1,27,DEU
2021-03-08,24,20,1,31,DEU
2021-03-15,25,21,1,32,DEU
2021-03-22,24,19,1,32,DEU
2021-03-29,27,21,1,30,DEU
2021-04-05,25,21,1,29,DEU
2021-04-12,27,22,1,30,DEU
2021-04-19,28,22,1,28,DEU
2021-04-26,32,20,1,26,DEU
2021-05-03,29,19,1,27,DEU
2021-05-10,29,20,1,26,DEU
2021-05-17,26,19,1,24,DEU
2021-05-24,27,20,1,24,DEU
2021-05-31,28,21,1,26,DEU
2021-06-07,27,21,1,27,DEU
2021-06-14,27,22,1,28,DEU
2021-06-21,24,21,1,28,DEU
2021-06-28,25,22,1,27,DEU
2021-07-05,25,24,1,28,DEU
2021-07-12,25,23,1,27,DEU
2021-07-19,25,23,1,28,DEU
2021-07-26,25,23,1,27,DEU
2021-08-02,26,23,1,28,DEU
2021-08-09,26,22,1,28,DEU
2021-08-16,24,23,1,27,DEU
2021-08-23,24,25,1,28,DEU
2021-08-30,25,24,2,29,DEU
2021-09-06,26,24,1,27,DEU
2021-09-13,26,23,1,28,DEU
2021-09-20,24,23,1,26,DEU
2021-09-27,26,23,1,26,DEU
2021-10-04,28,23,1,28,DEU
2021-10-11,28,23,1,29,DEU
2021-10-18,28,24,1,30,DEU
2021-10-25,27,26,1,32,DEU
2021-11-01,31,27,1,33,DEU
2021-11-08,33,26,1,35,DEU
2021-11-15,35,26,1,32,DEU
2021-11-22,33,24,1,32,DEU
2021-11-29,30,23,1,31,DEU
2021-12-06,30,22,1,33,DEU
2021-12-13,24,19,1,34,DEU
2021-12-20,23,20,1,36,DEU
2021-12-27,26,22,1,37,DEU
2022-01-03,29,23,1,39,DEU
2022-01-10,27,22,1,39,DEU
2022-01-17,27,23,1,44,DEU
2022-01-24,27,23,1,42,DEU
2022-01-31,27,23,1,40,DEU
