SEMANA,ANO,idx,count,DATE
42,2015,CAP NUEVO BOSQUE_BOLIVAR_CARTAGENA,5,2015-10-12
42,2015,CLINICA COLSANITA SA_BOLIVAR_ARJONA,1,2015-10-12
42,2015,CLINICA COLSANITA SA_BOLIVAR_CARTAGENA,8,2015-10-12
42,2015,CLINICA ESPECIALIZADA LA CONCEPCION SAS_CORDOBA_CHINU,2,2015-10-12
42,2015,CLINICA IBAGUE SA_TOLIMA_IBAGUE,1,2015-10-12
42,2015,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA_BOLIVAR_MOMPOS,1,2015-10-12
42,2015,CAP LA CANDELARIA_BOLIVAR_CARTAGENA,2,2015-10-12
42,2015,CLINICA MADRE BERNARDA COMUNIDAD DE HERMANAS FRANC_BOLIVAR_CARTAGENA,13,2015-10-12
42,2015,CLINICA NUESTRA SEÑORA DEL ROSARIO_MAGDALENA_SANTA MARTHA,1,2015-10-12
42,2015,CLINICA SANTA MARIA SAS_SUCRE_SINCELEJO,1,2015-10-12
42,2015,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA,15,2015-10-12
42,2015,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_TURBACO,1,2015-10-12
42,2015,CORPORACION IPS NORTE_NORTE SANTANDER_CUCUTA,1,2015-10-12
42,2015,CORPORACION IPS SALUDCOOP CJEML_ATLANTICO_BARRANQUILLA,1,2015-10-12
42,2015,CORPORACION IPS SALUDCOOP CLINICA SANTA MARTA_MAGDALENA_SANTA MARTHA,4,2015-10-12
42,2015,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA_SUCRE_SINCELEJO,2,2015-10-12
42,2015,EMPRESA SOCIAL DEL ESTADO HMI 13 DE JUNIO_ATLANTICO_SOLEDAD,1,2015-10-12
43,2015,IPS SALUD A TU LADO SAS_SUCRE_TOLU,1,2015-10-19
43,2015,IPS SALUD A TU LADO SAS_SUCRE_SINCELEJO,2,2015-10-19
43,2015,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE - USAQU_MAGDALENA_SANTA MARTHA,1,2015-10-19
43,2015,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE - USAQU_BOLIVAR_CARTAGENA,2,2015-10-19
43,2015,HOSPITAL SAN ROQUE_TOLIMA_ALVARADO,4,2015-10-19
43,2015,GESTION SALUD_BOLIVAR_TURBACO,1,2015-10-19
43,2015,HOSPITAL JOSE DAVID PADILLA VILLAFAÑE ESE_CESAR_AGUACHICA,5,2015-10-19
43,2015,HONAC DISPENSARIO NAVAL LOS CORALES_BOLIVAR_CARTAGENA,8,2015-10-19
43,2015,FUNDACION CLINICA INTEGRAL SINCELEJO_SUCRE_COROZAL,1,2015-10-19
43,2015,FAMILIA  IPS  SALUD INTEGRAL_ATLANTICO_BARRANQUILLA,1,2015-10-19
43,2015,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN_SAN ANDRES_SAN ANDRES,24,2015-10-19
43,2015,HOSPITAL ROSARIO PUMAREJO DE LOPEZ_CESAR_VALLEDUPAR,1,2015-10-19
43,2015,MEDICINA INTEGRAL SEDE NUEVA EPS_CORDOBA_MONTERIA,1,2015-10-19
43,2015,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_ATLANTICO_BARANOA,1,2015-10-19
43,2015,NUEVA CLÍNICA COROZAL SAS_SUCRE_COROZAL,1,2015-10-19
43,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA,1,2015-10-19
43,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_BOLIVAR_CARTAGENA,1,2015-10-19
43,2015,SALUD TOTAL EPS UUBC REINA CATALINA_ATLANTICO_BARRANQUILLA,1,2015-10-19
43,2015,SALUDCOOP ENTIDAD PROMOTORA DE SALUD ORGANISMO COO_ATLANTICO_BARRANQUILLA,2,2015-10-19
43,2015,SERVICIO DE EMERGENCIAS REGIONAL SERVICIO DE AMBUL_RISARALDA_PEREIRA,1,2015-10-19
43,2015,UNIDAD FUNCIONAL DE ATENCION PRIMARIA MANZANILLO_BOLIVAR_CARTAGENA,1,2015-10-19
43,2015,UNIDAD FUNCIONAL DE ATENCION PRIMARIA MANZANILLO_BOLIVAR_MARIA LA BAJA,1,2015-10-19
43,2015,UPA FREDONIA_BOLIVAR_CARTAGENA,1,2015-10-19
43,2015,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_CARTAGENA,16,2015-10-19
43,2015,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_TURBACO,3,2015-10-19
43,2015,ESE HOSPITAL SAN RAFAEL-ITAGUI_ANTIOQUIA_ITAGUI,1,2015-10-19
43,2015,MEDIHELP SERVICES COLOMBIA_BOLIVAR_CARTAGENA,3,2015-10-19
43,2015,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS_GUAJIRA_RIOHACHA,7,2015-10-19
43,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,16,2015-10-19
43,2015,ESE HOSPITAL LOCAL SAN JACINTO_BOLIVAR_SAN JACINTO,1,2015-10-19
43,2015,BIENESTAR IPS SAS_BOLIVAR_CARTAGENA,3,2015-10-19
43,2015,CAP BLAS DE LEZO_BOLIVAR_CARTAGENA,5,2015-10-19
43,2015,CAP LA CANDELARIA_BOLIVAR_CARTAGENA,1,2015-10-19
43,2015,CAP NUEVO BOSQUE_BOLIVAR_CARTAGENA,5,2015-10-19
43,2015,CLINICA COLSANITA SA_BOLIVAR_CARTAGENA,8,2015-10-19
43,2015,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA_SUCRE_COROZAL,1,2015-10-19
43,2015,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA_SUCRE_PALMITO,1,2015-10-19
43,2015,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA_SUCRE_SINCELEJO,15,2015-10-19
43,2015,CLINICA MADRE BERNARDA COMUNIDAD DE HERMANAS FRANC_BOLIVAR_CARTAGENA,28,2015-10-19
43,2015,CLINICA MADRE BERNARDA COMUNIDAD DE HERMANAS FRANC_BOLIVAR_TURBACO,4,2015-10-19
43,2015,CLINICA SALUD SOCIAL SAS_SUCRE_SINCELEJO,2,2015-10-19
43,2015,CLINICA SANTA MARIA SAS_SUCRE_MORROA,1,2015-10-19
43,2015,CLINICA SANTA MARIA SAS_SUCRE_SINCELEJO,1,2015-10-19
43,2015,ESE HOSPITAL MANUEL ELKIN PATARROYO_BOLIVAR_SANTA ROSA DEL SUR,13,2015-10-19
43,2015,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_TURBACO,1,2015-10-19
43,2015,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA,21,2015-10-19
43,2015,ESE HOSPITAL JOSE CAYETANO VASQUEZ_BOYACA_PUERTO BOYACA,1,2015-10-19
43,2015,ESE CENTRO HOSPITAL SAN JUAN BAUTISTA_NARIÑO_TAMINANGO,1,2015-10-19
43,2015,ESE CAMU EL AMPARO_CORDOBA_MONTERIA,1,2015-10-19
43,2015,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JOSE LA CEI_RISARALDA_LA CELIA,1,2015-10-19
43,2015,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE_SUCRE_SINCELEJO,1,2015-10-19
43,2015,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTANDER HERRE_MAGDALENA_PIVIJAY,1,2015-10-19
43,2015,CORPORACION IPS SALUDCOOP CLINICA SANTA MARTA_MAGDALENA_SANTA MARTHA,9,2015-10-19
43,2015,CORPORACION COSTA IPS EL CARMEN DE BOLIVAR_BOLIVAR_SAN JACINTO,1,2015-10-19
43,2015,CORPORACION COSTA IPS EL CARMEN DE BOLIVAR_BOLIVAR_EL CARMEN DE BOLIVAR,1,2015-10-19
43,2015,COMIT+ DEPARTAMENTAL DE LA CRUZ ROJA DE BOLIVAR_BOLIVAR_CARTAGENA,1,2015-10-19
43,2015,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE_BOLIVAR_CARTAGENA,1,2015-10-19
44,2015,IPS-I MANEXKA SEDE TUCHIN_CORDOBA_TUCHIN,1,2015-10-26
44,2015,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE - USAQU_SAN ANDRES_SAN ANDRES,1,2015-10-26
44,2015,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN_SAN ANDRES_SAN ANDRES,54,2015-10-26
44,2015,IPS UNIVERSITARIA SEDE CAMINO SALUD METROPOLITANA_ATLANTICO_SOLEDAD,1,2015-10-26
44,2015,IPS UNIVERSITARIA SEDE CAMINO SALUD METROPOLITANA_ATLANTICO_BARRANQUILLA,8,2015-10-26
44,2015,HOSPITAL SANTO DOMINGO_TOLIMA_FLANDES,3,2015-10-26
44,2015,GRUPO DE CABALLERIA MECANIZADA NO3 JOSE MARIA CAB_CESAR_AGUACHICA,1,2015-10-26
44,2015,HOSPITAL NAVAL DE CARTAGENA_BOLIVAR_CARTAGENA,5,2015-10-26
44,2015,HOSPITAL JOSE DAVID PADILLA VILLAFAÑE ESE_CESAR_AGUACHICA,4,2015-10-26
44,2015,HOSPITAL DEPARTAMENTAL SAN VICENTE DE PAUL_HUILA_GARZON,1,2015-10-26
44,2015,HEAD- CDV_CESAR_VALLEDUPAR,1,2015-10-26
44,2015,MEDIHELP SERVICES COLOMBIA_BOLIVAR_CARTAGENA,1,2015-10-26
44,2015,HOSPITAL PRIMER NIVEL DE ATENCION SAN ANTONIO E.S._TOLIMA_NATAGAIMA,4,2015-10-26
44,2015,MEDIHELP SERVICES COLOMBIA_BOLIVAR_TURBACO,1,2015-10-26
44,2015,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_TURBACO,4,2015-10-26
44,2015,NUEVO HOSPITAL BOCAGRANDE_BOLIVAR_CARTAGENA,2,2015-10-26
44,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA,9,2015-10-26
44,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_SOLEDAD,1,2015-10-26
44,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,14,2015-10-26
44,2015,SERVICIO MEDICO LTDA_SAN ANDRES_SAN ANDRES,26,2015-10-26
44,2015,SINERGIA GLOBAL EN SALUD SAS UPREC LA CANDELARIA_BOLIVAR_CARTAGENA,3,2015-10-26
44,2015,UAP  EPS SANITAS LA PLAZUELA_BOLIVAR_CARTAGENA,6,2015-10-26
44,2015,UPA FREDONIA_BOLIVAR_CARTAGENA,1,2015-10-26
