city,state,country,Latitude,Longitude,idx_city
mitu,vaupes,colombia,1.2538499,-70.2345576,COLOMBIA_VAUPES_MITU
antioquia,antioquia,colombia,6.227259,-75.5719699,COLOMBIA_ANTIOQUIA_ANTIOQUIA
caceres,antioquia,colombia,7.577089,-75.3514383,COLOMBIA_ANTIOQUIA_CACERES
envigado,antioquia,colombia,6.1701348,-75.587415,COLOMBIA_ANTIOQUIA_ENVIGADO
segovia,antioquia,colombia,7.081679,-74.7009089,COLOMBIA_ANTIOQUIA_SEGOVIA
valdivia,antioquia,colombia,7.165519,-75.438614,COLOMBIA_ANTIOQUIA_VALDIVIA
vigia del fuerte,antioquia,colombia,6.5896299,-76.8962209,COLOMBIA_ANTIOQUIA_VIGIA DEL FUERTE
tame,arauca,colombia,6.4615077,-71.7245069,COLOMBIA_ARAUCA_TAME
repelon,atlantico,colombia,10.4950081,-75.1244823,COLOMBIA_ATLANTICO_REPELON
achi,bolivar,colombia,8.5689588,-74.5557643,COLOMBIA_BOLIVAR_ACHI
arroyohondo,bolivar,colombia,10.24402435,-75.0283270068316,COLOMBIA_BOLIVAR_ARROYOHONDO
montecristo,bolivar,colombia,7.93057835,-74.40743965367216,COLOMBIA_BOLIVAR_MONTECRISTO
san martin de loba,bolivar,colombia,8.9370479,-74.038373,COLOMBIA_BOLIVAR_SAN MARTIN DE LOBA
zambrano,bolivar,colombia,9.7414779,-74.8177731,COLOMBIA_BOLIVAR_ZAMBRANO
macanal,boyaca,colombia,4.98185045,-73.28546066152629,COLOMBIA_BOYACA_MACANAL
moniquira,boyaca,colombia,5.8763096,-73.5732077,COLOMBIA_BOYACA_MONIQUIRA
puerto boyaca,boyaca,colombia,5.9756376,-74.5882837,COLOMBIA_BOYACA_PUERTO BOYACA
belen de los andaquies,caqueta,colombia,1.4200848,-75.8714223,COLOMBIA_CAQUETA_BELEN DE LOS ANDAQUIES
milan,caqueta,colombia,1.2900867,-75.5076247,COLOMBIA_CAQUETA_MILAN
morelia,caqueta,colombia,1.4874697,-75.724859,COLOMBIA_CAQUETA_MORELIA
puerto rico,caqueta,colombia,1.909392,-75.1530969,COLOMBIA_CAQUETA_PUERTO RICO
sabanalarga,casanare,colombia,4.8564547,-73.0390642,COLOMBIA_CASANARE_SABANALARGA
tauramena,casanare,colombia,5.013414,-72.7507084,COLOMBIA_CASANARE_TAURAMENA
mercaderes,cauca,colombia,1.7984873,-77.1610748,COLOMBIA_CAUCA_MERCADERES
miranda,cauca,colombia,3.2511475,-76.2291572,COLOMBIA_CAUCA_MIRANDA
piamonte,cauca,colombia,1.1185119,-76.3265519,COLOMBIA_CAUCA_PIAMONTE
puerto tejada,cauca,colombia,3.2288972,-76.4192267,COLOMBIA_CAUCA_PUERTO TEJADA
santa rosa,cauca,colombia,1.7018257,-76.5725868,COLOMBIA_CAUCA_SANTA ROSA
suarez,cauca,colombia,2.9543543,-76.6948801,COLOMBIA_CAUCA_SUAREZ
becerril,cesar,colombia,9.7032785,-73.2786054,COLOMBIA_CESAR_BECERRIL
chiriguana,cesar,colombia,9.3636401,-73.6016974,COLOMBIA_CESAR_CHIRIGUANA
el copey,cesar,colombia,10.1492075,-73.9611708,COLOMBIA_CESAR_EL COPEY
pailitas,cesar,colombia,8.9589902,-73.6216938,COLOMBIA_CESAR_PAILITAS
robles la paz,cesar,colombia,10.4062089,-73.1607159,COLOMBIA_CESAR_ROBLES (LA PAZ)
belen de bajira,choco,colombia,7.4365576,-77.1122594,COLOMBIA_CHOCO_BELÉN DE BAJIRA
medio baudo boca de pepe,choco,colombia,5.1926992,-76.9512785,COLOMBIA_CHOCO_MEDIO BAUDO (BOCA DE PEPE)
puerto escondido,cordoba,colombia,9.0142629,-76.2625983,COLOMBIA_CORDOBA_PUERTO ESCONDIDO
purisima,cordoba,colombia,9.2375332,-75.7236088,COLOMBIA_CORDOBA_PURISIMA
san bernardo del viento,cordoba,colombia,9.3306611,-75.99458843590666,COLOMBIA_CORDOBA_SAN BERNARDO DEL VIENTO
