city,state,country,Latitude,Longitude,idx_city,status,nearest_city
el banco,magdalena,colombia,9.0049173,-73.9738472,COLOMBIA_MAGDALENA_EL BANCO,empty,COLOMBIA_SUCRE_BUENAVISTA
el reten,magdalena,colombia,10.612076,-74.2695268,COLOMBIA_MAGDALENA_EL RETEN,empty,COLOMBIA_MAGDALENA_CIENAGA
fundacion,magdalena,colombia,10.5155669,-74.1901088,COLOMBIA_MAGDALENA_FUNDACION,empty,COLOMBIA_MAGDALENA_CIENAGA
nueva granada,magdalena,colombia,9.8018198,-74.3923786,COLOMBIA_MAGDALENA_NUEVA GRANADA,empty,COLOMBIA_SUCRE_BUENAVISTA
pivijay,magdalena,colombia,10.4654031,-74.6169599,COLOMBIA_MAGDALENA_PIVIJAY,empty,COLOMBIA_ATLANTICO_PONEDERA
plato,magdalena,colombia,9.7904163,-74.7820016,COLOMBIA_MAGDALENA_PLATO,empty,COLOMBIA_SUCRE_SAN PEDRO
santa ana,magdalena,colombia,9.3229035,-74.5696573,COLOMBIA_MAGDALENA_SANTA ANA,empty,COLOMBIA_SUCRE_BUENAVISTA
sitio nuevo,magdalena,colombia,9.1530625,-74.1943236,COLOMBIA_MAGDALENA_SITIO NUEVO,empty,COLOMBIA_SUCRE_BUENAVISTA
cubarral,meta,colombia,3.7943159,-73.8390382,COLOMBIA_META_CUBARRAL,empty,COLOMBIA_META_GUAMAL
el castillo,meta,colombia,3.5647959,-73.7942913,COLOMBIA_META_EL CASTILLO,empty,COLOMBIA_META_CASTILLA LA NUEVA
granada,meta,colombia,3.548259,-73.7051174,COLOMBIA_META_GRANADA,empty,COLOMBIA_META_CASTILLA LA NUEVA
la uribe,meta,colombia,3.2413296,-74.3510657,COLOMBIA_META_LA URIBE,empty,COLOMBIA_HUILA_TELLO
lejanias,meta,colombia,3.5265098,-74.0226232,COLOMBIA_META_LEJANIAS,empty,COLOMBIA_META_GUAMAL
mapiripan,meta,colombia,2.8933959,-72.132043,COLOMBIA_META_MAPIRIPAN,empty,COLOMBIA_META_PUERTO CONCORDIA
mesetas,meta,colombia,3.3840276,-74.0438661,COLOMBIA_META_MESETAS,empty,COLOMBIA_META_GUAMAL
puerto gaitan,meta,colombia,4.3120724,-72.0829509,COLOMBIA_META_PUERTO GAITAN,empty,COLOMBIA_META_CUMARAL
puerto lleras,meta,colombia,3.2697276,-73.3756016,COLOMBIA_META_PUERTO LLERAS,empty,COLOMBIA_META_CASTILLA LA NUEVA
puerto rico,meta,colombia,2.9402122,-73.2051337,COLOMBIA_META_PUERTO RICO,empty,COLOMBIA_META_PUERTO CONCORDIA
san carlos de guaroa,meta,colombia,3.835189,-73.25984407006148,COLOMBIA_META_SAN CARLOS DE GUAROA,empty,COLOMBIA_META_CASTILLA LA NUEVA
san martin,meta,colombia,3.6943897,-73.6952914,COLOMBIA_META_SAN MARTIN,empty,COLOMBIA_META_CASTILLA LA NUEVA
barbacoas,narino,colombia,1.6741037,-78.1364951,COLOMBIA_NARIÑO_BARBACOAS,empty,COLOMBIA_NARIÑO_FRANCISCO PIZARRO (SALAHONDA)
cumbitara,narino,colombia,1.6476758,-77.5783622,COLOMBIA_NARIÑO_CUMBITARA,empty,COLOMBIA_NARIÑO_POLICARPA
abrego,norte santander,colombia,8.0818887,-73.2208717,COLOMBIA_NORTE SANTANDER_ABREGO,empty,COLOMBIA_NORTE SANTANDER_SANTIAGO
cucuta,norte santander,colombia,8.131792075077092,-72.8867588702224,COLOMBIA_NORTE SANTANDER_CUCUTA,empty,COLOMBIA_NORTE SANTANDER_EL ZULIA
ocana,norte santander,colombia,8.107919522660925,-72.8069503250875,COLOMBIA_NORTE SANTANDER_OCAÑA,empty,COLOMBIA_NORTE SANTANDER_EL ZULIA
salazar,norte santander,colombia,7.7849895,-72.8446027746108,COLOMBIA_NORTE SANTANDER_SALAZAR,empty,COLOMBIA_NORTE SANTANDER_SANTIAGO
mocoa,putumayo,colombia,1.1466295,-76.6482327,COLOMBIA_PUTUMAYO_MOCOA,empty,COLOMBIA_PUTUMAYO_PUERTO CAICEDO
orito,putumayo,colombia,0.6686314,-76.8749187,COLOMBIA_PUTUMAYO_ORITO,empty,COLOMBIA_PUTUMAYO_PUERTO CAICEDO
puerto leguizamo,putumayo,colombia,-0.1949861,-74.7806975,COLOMBIA_PUTUMAYO_PUERTO LEGUIZAMO,empty,COLOMBIA_CAQUETA_MILAN
valle del guamuez,putumayo,colombia,0.44932225,-76.87845278479098,COLOMBIA_PUTUMAYO_VALLE DEL GUAMUEZ,empty,COLOMBIA_PUTUMAYO_SAN MIGUEL (LA DORADA)
villagarzon,putumayo,colombia,1.0306708,-76.61691,COLOMBIA_PUTUMAYO_VILLAGARZON,empty,COLOMBIA_PUTUMAYO_PUERTO CAICEDO
cimitarra,santander,colombia,6.3145415,-73.9496809,COLOMBIA_SANTANDER_CIMITARRA,empty,COLOMBIA_ANTIOQUIA_YONDO (CASABE)
san gil,santander,colombia,6.5552856,-73.1312353,COLOMBIA_SANTANDER_SAN GIL,empty,COLOMBIA_SANTANDER_LOS SANTOS
majagual,sucre,colombia,8.56187075,-74.72944564133846,COLOMBIA_SUCRE_MAJAGUAL,empty,COLOMBIA_SUCRE_GALERAS (NUEVA GRANADA)
san marcos,sucre,colombia,8.6618609,-75.1307644,COLOMBIA_SUCRE_SAN MARCOS,empty,COLOMBIA_SUCRE_EL ROBLE
tolu,sucre,colombia,9.5241138,-75.5841794,COLOMBIA_SUCRE_TOLU,empty,COLOMBIA_SUCRE_TOLUVIEJO
alpujarra,tolima,colombia,3.3910327,-74.9326005,COLOMBIA_TOLIMA_ALPUJARRA,empty,COLOMBIA_HUILA_VILLAVIEJA
chaparral,tolima,colombia,3.7245851,-75.485156,COLOMBIA_TOLIMA_CHAPARRAL,empty,COLOMBIA_HUILA_AIPE
coyaima,tolima,colombia,3.7993906,-75.1945858,COLOMBIA_TOLIMA_COYAIMA,empty,COLOMBIA_TOLIMA_GUAMO
lerida,tolima,colombia,4.8609666,-74.9109405,COLOMBIA_TOLIMA_LERIDA,empty,COLOMBIA_TOLIMA_ARMERO (GUAYABAL)
libano,tolima,colombia,4.9229399,-75.0647738,COLOMBIA_TOLIMA_LIBANO,empty,COLOMBIA_TOLIMA_VILLAHERMOSA
natagaima,tolima,colombia,3.6241727,-75.0930613,COLOMBIA_TOLIMA_NATAGAIMA,empty,COLOMBIA_HUILA_VILLAVIEJA
ortega,tolima,colombia,3.9340209,-75.2212672,COLOMBIA_TOLIMA_ORTEGA,empty,COLOMBIA_TOLIMA_SAN LUIS
prado,tolima,colombia,3.7201711,-74.86200186551633,COLOMBIA_TOLIMA_PRADO,empty,COLOMBIA_TOLIMA_GUAMO
purificacion,tolima,colombia,3.8582108,-74.9308216,COLOMBIA_TOLIMA_PURIFICACION,empty,COLOMBIA_TOLIMA_GUAMO
buga,valle,colombia,3.9000578,-76.302013,COLOMBIA_VALLE_BUGA,empty,COLOMBIA_VALLE_GUACARI
dagua,valle,colombia,3.658161,-76.6893973,COLOMBIA_VALLE_DAGUA,empty,COLOMBIA_VALLE_LA CUMBRE
el dovio,valle,colombia,4.511899,-76.238102,COLOMBIA_VALLE_EL DOVIO,empty,COLOMBIA_VALLE_TORO
san pedro,valle,colombia,3.9955682,-76.2280495,COLOMBIA_VALLE_SAN PEDRO,empty,COLOMBIA_VALLE_GUACARI
caceres,antioquia,colombia,7.577089,-75.3514383,COLOMBIA_ANTIOQUIA_CACERES,empty,COLOMBIA_ANTIOQUIA_SAN JERONIMO
