idx_city,elevation
COLOMBIA_BOLIVAR_SAN CRISTOBAL,15.0
COLOMBIA_CUNDINAMARCA_ANOLAIMA,1667.0
COLOMBIA_SANTANDER_CONCEPCION,2004.0
COLOMBIA_SANTANDER_SUCRE,838.0
COLOMBIA_ANTIOQUIA_AMALFI,1554.0
COLOMBIA_ANTIOQUIA_BETANIA,1557.0
COLOMBIA_HUILA_BARAYA,2340.0
COLOMBIA_NORTE SANTANDER_LA PLAYA,2572.0
COLOMBIA_ANTIOQUIA_CISNEROS,1035.0
COLOMBIA_BOYACA_TUNJA,2782.0
COLOMBIA_CUNDINAMARCA_ARBELAEZ,1365.0
COLOMBIA_MAGDALENA_CONCORDIA,15.0
COLOMBIA_NORTE SANTANDER_CHITAGA,2334.0
COLOMBIA_ANTIOQUIA_SAN JOSE DE LA MONTANA,2856.0
COLOMBIA_BOYACA_CHIQUINQUIRA,2566.0
COLOMBIA_BOYACA_SAN MATEO,2021.0
COLOMBIA_CUNDINAMARCA_VILLAPINZON,2745.0
COLOMBIA_HUILA_NATAGA,1402.0
COLOMBIA_NARIÑO_SAMANIEGO,1499.0
COLOMBIA_ANTIOQUIA_SALGAR,1297.0
COLOMBIA_SANTANDER_CALIFORNIA,2038.0
COLOMBIA_SANTANDER_SIMACOTA,166.0
COLOMBIA_SANTANDER_CERRITO,2504.0
COLOMBIA_VALLE_BOLIVAR,934.0
COLOMBIA_ANTIOQUIA_SAN ROQUE,1430.0
COLOMBIA_CUNDINAMARCA_FOMEQUE,1872.0
COLOMBIA_NORTE SANTANDER_PAMPLONITA,1742.0
COLOMBIA_CHOCO_JURADO,6.0
COLOMBIA_HUILA_ALTAMIRA,963.0
