date,country,new_cases,cases,co,no2,o3,pm10,pm25,so2,year,population,Mean_distance_avg_14day_movavg,StringencyIndex_Average
2021-10-25,Mexico,25550,26571431,9.073708513708514,14.362380952380951,12.343112760255618,31.73189033189033,82.71428571428571,4.458620902906617,2021,127241179,22.832857142857144,38.89
2021-11-01,Mexico,19575,26712068,10.728902763902765,13.342077922077923,13.401098901098901,30.86255411255411,70.89603174603175,5.154227994227995,2021,127241179,23.860000000000003,38.89
2021-11-08,Mexico,18005,26852372,11.192857142857141,14.313766233766232,15.38018648018648,47.57012987012987,75.92380952380952,4.380995670995671,2021,127241179,24.615714285714287,38.89
2021-11-15,Mexico,17346,26974276,11.441135531135531,16.15168831168831,13.06524309024309,36.904761904761905,54.80317460317461,4.602251082251082,2021,127241179,24.52285714285714,38.89
2021-11-22,Mexico,20655,27115387,10.608766233766234,14.81025974025974,13.994505494505493,36.823593073593074,57.6063492063492,4.24051948051948,2021,127241179,24.868571428571432,38.89
2021-11-29,Mexico,18471,27247735,12.092748917748917,17.678730158730158,10.905311355311355,44.25974025974026,64.41071428571429,5.072611832611833,2021,127241179,24.815714285714286,35.19
2021-12-06,Mexico,16098,27364844,12.866623376623377,22.097922077922078,12.940451215451215,53.18614718614719,79.74920634920635,4.9664935064935065,2021,127241179,25.255714285714284,30.424285714285713
2021-12-13,Mexico,15184,27478931,12.52435064935065,20.8186544011544,10.671017316017315,48.412121212121214,74.76388888888889,6.096132756132755,2021,127241179,25.900000000000002,35.19
2021-12-20,Mexico,17655,27593371,12.362012987012987,21.109166666666663,9.534090909090908,50.02813852813853,78.32936507936508,6.018225108225108,2021,127241179,27.99857142857143,35.19
2021-12-27,Mexico,40387,27780209,13.455119047619048,19.179081632653062,12.887662337662338,50.34318181818181,78.90561224489797,4.767668521954236,2021,127241179,30.217142857142857,35.19
2022-01-03,Mexico,134801,28408776,13.227472527472528,18.773364730507588,13.580919080919081,53.80129870129869,78.39748822605966,4.6940067075781355,2022,128055116,28.74857142857143,37.988571428571426
2022-01-10,Mexico,242926,29742755,12.999826007326007,18.367647828362117,14.274175824175824,57.25941558441558,77.88936420722136,4.620344893202036,2022,128055116,24.599999999999998,39.01285714285715
2022-01-17,Mexico,299515,31620457,12.772179487179487,17.961930926216642,14.967432567432567,60.71753246753246,77.38124018838305,4.546683078825936,2022,128055116,21.63714285714286,38.917142857142856
2022-01-24,Mexico,262240,33646174,12.544532967032968,17.556214024071167,15.66068931068931,64.17564935064934,76.87311616954474,4.4730212644498355,2022,128055116,21.03857142857143,48.50571428571429
2022-01-31,Mexico,221456,35340702,12.316886446886446,17.150497121925696,16.353946053946053,67.63376623376622,76.36499215070644,4.399359450073735,2022,128055116,21.90285714285714,48.48285714285714
2022-02-07,Mexico,132327,36505866,12.089239926739927,16.74478021978022,17.0472027972028,71.09188311688311,75.85686813186814,4.325697635697636,2022,128055116,23.40857142857143,36.635714285714286
2022-02-14,Mexico,129573,37492029,11.861593406593407,16.339063317634746,17.74045954045954,74.54999999999998,75.34874411302982,4.2520358213215355,2022,128055116,24.36285714285714,36.612857142857145
2022-02-21,Mexico,92680,38258226,11.633946886446886,15.933346415489275,18.433716283716286,78.00811688311687,74.84062009419152,4.178374006945435,2022,128055116,25.580000000000002,36.60285714285715
2022-02-28,Mexico,58880,38750224,11.406300366300366,15.5276295133438,19.126973026973026,81.46623376623376,74.33249607535322,4.104712192569335,2022,128055116,26.509999999999998,36.598571428571425
2022-03-07,Mexico,41842,39122475,11.178653846153846,15.121912611198328,19.820229770229773,84.92435064935063,73.82437205651492,4.031050378193235,2022,128055116,26.43,38.69
2022-03-14,Mexico,27101,39343210,10.951007326007325,14.716195709052855,20.513486513486516,88.38246753246753,73.3162480376766,3.957388563817135,2022,128055116,26.821428571428573,38.675714285714285
2022-03-21,Mexico,16968,39492220,10.723360805860805,14.31047880690738,21.20674325674326,91.8405844155844,72.8081240188383,3.883726749441035,2022,128055116,28.455714285714286,25.697142857142858
2022-03-28,Mexico,15319,39613374,10.495714285714286,13.904761904761907,21.900000000000002,95.29870129870129,72.3,3.810064935064935,2022,128055116,29.035714285714285,25.69
2022-04-04,Mexico,56718,39902215,22.73002886002886,12.520039682539684,25.439870129870126,62.65266955266956,77.24444444444444,3.897977022977023,2022,128055116,28.465714285714284,25.69
2022-04-11,Mexico,4735,40076574,8.6875,10.516224489795917,23.788585858585858,39.00577200577201,69.63174603174603,3.293704906204906,2022,128055116,29.39428571428571,25.681428571428572
2022-04-18,Mexico,6117,40117981,10.138492063492064,9.176190476190476,23.407474747474748,41.61298701298701,70.54007936507936,3.2584415584415583,2022,128055116,30.504285714285714,25.669999999999998
2022-04-25,Mexico,5895,40161559,9.906547619047618,9.474178004535148,22.931746031746034,39.91111111111111,65.03174603174604,3.669047619047619,2022,128055116,29.685714285714287,25.669999999999998
2022-05-02,Mexico,0,40178160,10.570238095238095,11.158163265306124,23.191326530612248,48.831746031746036,81.87301587301587,2.6821645021645018,2022,128055116,27.764285714285712,25.669999999999998
2022-05-09,Mexico,5972,40219564,11.294484126984127,9.431377551020407,25.098979591836734,45.10952380952381,70.59988662131519,3.0877958152958156,2022,128055116,27.21142857142857,25.669999999999998
2022-05-16,Mexico,6789,40267087,19.677953514739233,12.412499999999998,28.511269841269844,58.42020202020202,106.33571428571429,4.046731601731602,2022,128055116,27.885714285714283,25.669999999999998
2022-05-23,Mexico,7332,40318411,10.369523809523809,10.367658730158729,24.262222222222224,43.43766233766234,77.32380952380952,3.6291991341991343,2022,128055116,27.928571428571427,25.669999999999998
2022-05-30,Mexico,31509,40473493,9.929642857142856,9.196428571428571,23.727301587301586,49.401587301587305,62.363775510204086,3.926262626262626,2022,128055116,27.09714285714286,25.669999999999998
2022-06-06,Mexico,32562,40655060,11.74079365079365,9.146598639455783,23.357063492063492,55.3961038961039,61.758049886621315,3.9731998556998556,2022,128055116,26.365714285714287,25.669999999999998
2022-06-13,Mexico,51861,40934265,10.7465873015873,7.742857142857143,18.05736961451247,29.642424242424244,52.35487528344671,2.8335353535353534,2022,128055116,26.367142857142856,25.669999999999998
2022-06-20,Mexico,86910,41410401,9.407777777777778,7.217602040816327,17.7390873015873,24.484415584415586,43.214285714285715,3.3906493506493507,2022,128055116,26.424285714285713,18.744285714285716
2022-06-27,Mexico,126985,42181372,9.492698412698413,8.162896825396825,22.240000000000002,25.132467532467533,50.202380952380956,3.687987012987013,2022,128055116,26.768571428571427,19.44
2022-07-04,Mexico,169725,43248313,9.456363636363635,8.016071428571427,18.954805194805196,24.851948051948053,48.220634920634915,4.277380952380953,2022,128055116,26.91,22.617142857142856
2022-07-11,Mexico,189152,44576359,8.683405483405483,8.209297052154195,20.492582972582973,24.77012987012987,53.617063492063494,4.161219336219337,2022,128055116,26.954285714285714,31.34857142857143
2022-07-18,Mexico,175833,45847090,8.453044733044733,8.953259637188209,18.694444444444446,27.152380952380952,51.11111111111111,3.576646052360338,2022,128055116,27.720000000000002,33.33
2022-07-25,Mexico,87537,46766531,8.595454545454546,7.834863945578232,17.56142857142857,21.442857142857143,44.81292517006803,3.306428571428572,2022,128055116,28.307142857142857,33.33
2022-08-01,Mexico,145623,47702461,8.634415584415583,8.955442176870749,18.06714285714286,27.793650793650794,54.598356009070294,3.962077922077922,2022,128055116,29.037142857142857,33.33
2022-08-08,Mexico,70166,48216106,8.37049062049062,12.057908163265306,18.13053391053391,20.887301587301586,46.567460317460316,4.261601731601732,2022,128055116,29.381428571428568,33.33
2022-08-15,Mexico,22017,48617023,14.63642857142857,12.279761904761903,16.381060606060608,67.95584415584416,49.41587301587301,3.1383982683982685,2022,128055116,29.63,33.33
2022-08-22,Mexico,64857,48949570,8.49595238095238,12.051150793650793,19.803549783549784,33.588167388167385,53.44444444444444,3.479163059163059,2022,128055116,29.740000000000002,33.33
2022-08-29,Mexico,26671,49189477,7.841399711399712,10.429444444444444,17.634025974025974,19.658730158730158,43.61904761904763,3.7747619047619048,2022,128055116,28.14428571428571,16.93
2022-09-05,Mexico,18308,49341819,8.317727272727272,12.021428571428572,16.608290043290044,19.785714285714285,41.08571428571429,3.7314285714285718,2022,128055116,26.672857142857143,15.74
2022-09-12,Mexico,10275,49438620,7.648802308802309,9.292857142857143,18.589920634920638,19.127380952380953,39.149206349206345,5.952244897959184,2022,128055116,26.5,13.89
2022-09-19,Mexico,11983,49538623,29.6071645021645,11.146230158730159,15.791515151515153,20.79365079365079,39.68809523809524,4.704960317460317,2022,128055116,26.827142857142857,13.89
2022-09-26,Mexico,8583,49603783,11.674891774891776,12.004365079365078,20.936143578643577,24.59206349206349,43.52063492063492,5.406468253968255,2022,128055116,26.415714285714284,13.89
2022-10-03,Mexico,6934,49652516,8.293506493506493,11.632698412698414,16.671111111111113,21.860317460317457,45.644444444444446,5.132207792207793,2022,128055116,26.35571428571429,13.89
2022-10-10,Mexico,5683,49703178,8.962337662337662,12.945238095238095,16.097301587301587,28.785714285714285,51.8984126984127,4.693160173160173,2022,128055116,26.607142857142858,13.89
2022-10-17,Mexico,3918,49734483,9.32914862914863,15.523809523809524,13.941428571428572,28.842857142857145,51.87301587301588,4.740555555555555,2022,128055116,27.34714285714286,13.89
2022-10-24,Mexico,4239,49760700,9.464415584415585,15.530952380952382,13.977301587301588,38.18730158730159,63.74603174603174,3.254603174603175,2022,128055116,28.881428571428568,13.89
2022-10-31,Mexico,2554,49787968,9.923246753246755,18.52857142857143,14.313246753246755,40.69206349206349,67.96507936507936,4.298015873015872,2022,128055116,28.891428571428573,13.89
2022-11-07,Mexico,2766,49808089,8.813549783549783,15.629438775510204,15.035660173160172,40.68571428571429,62.07619047619047,4.53961296639868,2022,128055116,28.22,13.89
2022-11-14,Mexico,2509,49832531,9.658672438672438,21.750255102040818,12.92607142857143,66.24801587301587,64.49007936507937,3.865079365079365,2022,128055116,28.31714285714286,13.89
2022-11-21,Mexico,6243,49870256,9.515844155844155,20.994047619047617,10.3912987012987,61.404761904761905,64.32380952380952,4.05,2022,128055116,28.905714285714286,13.89
2022-11-28,Mexico,7616,49906696,9.307922077922077,18.53174603174603,12.008369408369408,38.73174603174603,61.492063492063494,3.679047619047619,2022,128055116,28.524285714285718,13.89
2022-12-05,Mexico,23938,50074067,10.837936507936506,21.56031746031746,12.457579365079365,50.84285714285714,79.66666666666666,4.265714285714286,2022,128055116,28.17142857142857,13.89
2022-12-12,Mexico,32132,50230350,11.979563492063493,18.890674603174602,13.368730158730159,53.24246031746031,86.1139455782313,4.690981240981242,2022,128055116,29.12142857142857,13.89
2022-12-19,Mexico,32189,50418744,11.482857142857142,19.264115646258507,13.013321995464853,47.954365079365076,79.58163265306122,3.962511337868481,2022,128055116,30.667142857142856,13.89
2022-12-26,Mexico,13416,50623000,10.97107142857143,18.900793650793652,12.189444444444446,36.06831065759637,65.6734693877551,2.9891156462585036,2022,128055116,31.15857142857143,13.89
2020-03-23,US,108600,634527,2.399522309271988,6.142176386913229,22.75687830687831,12.92,28.91948051948052,0.7636409476071131,2020,339142428,33.803333333333335,72.69
2020-03-30,US,209573,1815950,2.351859421066738,5.570128022759603,22.636772486772486,12.535910973084887,23.74485157699443,0.837510315130837,2020,339142428,27.512857142857143,72.69
2020-04-06,US,218434,3363343,2.2219608720218473,5.409215606584027,24.228609632854916,14.300465838509316,29.43812615955473,0.8011461960641783,2020,339142428,24.91142857142857,72.69
2020-04-13,US,197337,4792373,3.5217508710801395,5.46133915870758,25.74231805929919,13.527619047619046,26.913265306122447,1.0884839103105357,2020,339142428,23.352857142857143,72.69
2020-04-20,US,206649,6212168,3.5503686492357867,5.700001741806253,25.0427482894464,15.491428571428571,26.441326530612248,1.104508725229222,2020,339142428,23.97714285714286,72.69
2020-04-27,US,190652,7582637,3.1584407665505227,5.175187969924812,26.889466997014164,16.554285714285715,24.60969387755102,1.1588914656771798,2020,339142428,26.744285714285716,72.69
2020-05-04,US,170872,8859689,3.456411149825784,5.054511278195489,26.584675324675324,17.21142857142857,24.660714285714285,1.0836307305530908,2020,339142428,29.461428571428574,72.69
2020-05-11,US,155388,9977338,3.404389573840793,4.99172932330827,25.19272727272727,14.464761904761904,25.330751391465675,1.04937641723356,2020,339142428,30.7,72.69
2020-05-18,US,155064,11074765,3.341458947556508,4.620300751879698,23.844680134680136,14.176739926739927,25.73246753246753,1.0335497397339501,2020,339142428,33.12285714285714,72.69
2020-05-25,US,144034,12096019,3.426463414634146,4.825807762649868,21.751572871572872,14.780219780219781,23.714285714285715,1.1209715760430046,2020,339142428,34.574285714285715,72.69
2020-06-01,US,148695,13128166,3.4970041906017513,5.3223430197114405,25.208051948051946,18.207252747252745,30.088311688311688,1.2156901205990411,2020,339142428,34.97428571428571,72.69
2020-06-08,US,149929,14163854,3.336548837697747,4.7463320463320455,24.385454545454543,16.846153846153847,25.31168831168831,1.1266016704353419,2020,339142428,36.824285714285715,72.69
2020-06-15,US,189761,15357556,3.2748481193603145,5.22042042042042,24.453246753246752,17.26923076923077,28.179591836734694,1.1481808100099518,2020,339142428,39.378571428571426,68.98
2020-06-22,US,277291,17013086,3.488545296167248,5.508563074352549,22.025454545454547,20.9047619047619,35.52922077922078,1.0706979120150475,2020,339142428,43.08714285714286,68.98
2020-06-29,US,347620,19259481,3.5532404181184667,4.929932940459255,21.559211159211163,21.17216117216117,40.73469387755102,1.195907876342659,2020,339142428,44.66857142857143,68.98
2020-07-06,US,410564,21912319,3.459869337979094,5.1010979024136915,21.31729677729678,19.59259259259259,33.36734693877551,1.1243909137355272,2020,339142428,44.60285714285715,68.98
2020-07-13,US,452195,25021266,3.5834660055391763,4.894412269412269,22.91021164021164,18.386446886446887,32.90834879406308,1.097802197802198,2020,339142428,44.32,68.98
2020-07-20,US,458703,28225282,3.496340219014435,5.194629591998013,21.286479591836734,15.53133903133903,27.320089997721578,1.060998069254227,2020,339142428,44.691428571428574,68.98
